facility_type,facility_id,name,address,location_description,latitude,longitude,ownership,ownership_description,maintained,permit_types,is_permit_parking,payment_device,payment_type,classification,days_of_enforcement,enforcement_times,duration_restriction,classification2,days_of_enforcement2,enforcement_times2,max_parking_spaces,has_accessible_spaces,accessible_space_count,is_commuter_parking,is_ev_charging,seasonal_restriction,on_overnight_ban_map,overnight_ban_area_type,guideline_url,weblink,description,source_layer,source_object_id
lot,34,Lot 34,300 South Blvd,300 South Blvd - South Boulevard east of Ridgeland,41.8871337,-87.7838185,Village of Oak Park,,Village of Oak Park,Day; Night; 24-hour,1,METER,,,,,,,,,,,,,,,Y,ON-STREET,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_34.pdf,,,42,3501
lot,35,Lot 35,2 South Blvd,2 South Blvd - South Boulevard west of Austin,41.8869761,-87.7753202,Village of Oak Park,,Village of Oak Park,24-hour,1,METER,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_35.pdf,,,42,3484
lot,36,Lot 36,14 Washington Blvd,"Washington west of Austin, 14 Washington Blvd",41.8823063,-87.7753201,Village of Oak Park,,Village of Oak Park,24-hour,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_36.pdf,,,42,3480
lot,37,Lot 37,1190 S. Grove Ave,"Grove north of Roosevelt Road, 1190 S. Grove Ave",41.8657047,-87.7956926,Village of Oak Park,,Village of Oak Park,24-hour,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_37.pdf,,,42,3443
lot,39,Lot 39,8 Harvard St,8 Harvard St - Harvard west of Austin,41.8689188,-87.7741372,Village of Oak Park,,Village of Oak Park,24-hour,1,,,,,,,,,,,,,,,,Y,ON-STREET,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_39.pdf,,,42,3527
lot,45,Lot 45,321 Madison St,321 Madison St - Madison St east of Ridgeland Ave,41.8798364,-87.783795,Village of Oak Park,,Village of Oak Park,Night,1,,,,,,,,,,,,,,,"When more than two inches of snow is on the ground, Oak Park may implement the Snow Parking Ban.",Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_45.pdf,,,42,3430
lot,47,Lot 47,123 Madison St,"Village Hall at Lombard south of Madison, 123 Madison St",41.8788783,-87.778975,Village of Oak Park,,Village of Oak Park,Night,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_47.pdf,,,42,3461
lot,53,Lot 53,515 Garfield St,515 Garfield St - Rehm Pool at the SE corner of Garfield Street and East Avenue,41.8712932,-87.7875336,Park District Oak Park,,Park District Oak Park,24-hour,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_53.pdf,,,42,3458
lot,54,Lot 54,101 Flournoy St,101 Flournoy St - Flournoy St east of Taylor Ave,41.8715367,-87.7767913,Village of Oak Park,,Village of Oak Park,24-hour,1,,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_54.pdf,,,42,3448
lot,55,Lot 55,834 North Blvd,834 North Blvd - North Boulevard east of Kenilworth,41.8876753,-87.7964768,Village of Oak Park,,Village of Oak Park,Day; 24-hour,1,,,,,,,,,,,,,,,,Y,PARKINGLOT,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_55.pdf,,,42,3476
lot,61,Lot 61,36 North Blvd,36 North Blvd - Southside of North Blvd from Humphrey Ave to Austin Blvd,41.8875265,-87.7757221,Village of Oak Park,,Village of Oak Park,Day; 24-hour,1,,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_61.pdf,,,42,3459
lot,64,Lot 64,119 South Blvd,119 South Blvd - Northside of South Boulevard from west of Taylor to Lombard,41.8865487,-87.778105,Village of Oak Park,,Village of Oak Park,24-hour,1,,,,,,,,,,,,,,,,Y,ON-STREET,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_64.pdf,,,42,3436
lot,65,Lot 65,112 South Blvd,112 South Blvd - Northside of South Boulevard from Lombard to Harvey,41.8869626,-87.780259,Village of Oak Park,,Village of Oak Park,24-hour,1,,,,,,,,,,,,,,,,Y,ON-STREET,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_65.pdf,,,42,3522
lot,66,Lot 66,600 North Blvd,600 North Blvd - Southside of North Blvd from Bishop Quarter Ln to East Ave,41.8872681,-87.7899267,Village of Oak Park,,Village of Oak Park,Day; Night; 24-hour,1,,,,,,,,,,,,,,,,Y,ENCLAVE,https://www.oak-park.us/sites/default/files/parking/lots/2018_guidelines/lot_66.pdf,,,42,3473
