alley_id,alley_name,section_id,pid,from_street,to_street,surface,width_ft,slab_length_ft,slab_width_ft,construction_date,construction_year,general_condition,pci_2022_2023,pci_2024,pci_change,pci_2024_band,scheduled_build_year,in_2026_cip,length_ft,object_id,centroid_latitude,centroid_longitude
467-E,ALLEY 467-E,10,ALLEYS::467-E::10,Baldwin Ln,Madison St,PCC,22,10,6,2007-06-01,2007,,93,93,0,80-100,,N,214.7,220,41.8799547,-87.8007
468-S,ALLEY 468-S,00,ALLEYS::468-S::00,S Maple Ave,Wisconsin Ave,AC,18,0,0,1970-06-01,1970,,45,45,0,40-59,,N,424.0,222,41.8800758,-87.8031011
596,ALLEY 596,00,ALLEYS::596::00,Harlem Ave,S Maple Ave,PCC,16,12,8,1900-01-01,1900,,63,70,7,60-79,,N,232.1,223,41.8791408,-87.8042731
588-N,ALLEY 588-N,00,ALLEYS::588-N::00,Wisconsin Ave,Winonah Ave,AC,16,0,0,1900-01-01,1900,,41,41,0,40-59,,N,332.0,224,41.8791879,-87.8016815
587-N,ALLEY 587-N,00,ALLEYS::587-N::00,Winonah Ave,Home Ave,PCC,16,12,8,2015-06-01,2015,,92,92,0,80-100,,N,331.8,226,41.8792076,-87.800463
587,ALLEY 587,00,ALLEYS::587::00,Alley 587 N,Monroe Ave,PCC,16,33,16,1924-06-01,1924,,14,30,16,0-39,,N,350.9,227,41.8787263,-87.8004455
580,ALLEY 580,00,ALLEYS::580::00,Madison St,Monroe Ave,PCC,16,33,16,1900-01-01,1900,,12,26,14,0-39,,N,517.3,228,41.8789708,-87.799519
581,ALLEY 581,00,ALLEYS::581::00,Monroe Ave,Adams St,PCC,16,33,16,1920-06-01,1920,,23,35,12,0-39,,N,517.2,229,41.8775518,-87.7994687
586,ALLEY 586,00,ALLEYS::586::00,Monroe Ave,Adams St,PCC,16,33,16,1923-06-01,1923,,15,28,13,0-39,2026,N,517.2,230,41.8775356,-87.8004024
589,ALLEY 589,00,ALLEYS::589::00,Monroe Ave,Adams St,PCC,16,33,16,1924-06-01,1924,,19,35,16,0-39,,N,517.5,231,41.8775157,-87.8016205
594,ALLEY 594,00,ALLEYS::594::00,Alley 594 N,Adams St,PCC,20,33,16,1926-06-01,1926,,15,33,18,0-39,2025,N,336.1,232,41.877243,-87.803002
593,ALLEY 593,00,ALLEYS::593::00,Adams St,Jackson Blvd,PCC,20,33,16,1922-06-01,1922,,36,54,18,40-59,,N,516.3,233,41.8760737,-87.8029623
590,ALLEY 590,00,ALLEYS::590::00,Adams St,Jackson Blvd,PCC,16,42,16,1923-06-01,1923,,13,33,20,0-39,,N,516.4,234,41.8760976,-87.8015694
585,ALLEY 585,00,ALLEYS::585::00,Adams St,Jackson Blvd,AC,16,0,0,1974-06-01,1974,,56,56,0,40-59,,N,515.8,235,41.8761186,-87.800352
582,ALLEY 582,00,ALLEYS::582::00,Adams St,Jackson Blvd,PCC,16,33,16,1920-06-01,1920,,8,25,17,0-39,2028,N,515.6,236,41.8761351,-87.7994198
583,ALLEY 583,00,ALLEYS::583::00,Jackson Blvd,Harrison St,PCC,16,33,16,1927-06-01,1927,,14,30,16,0-39,,N,707.6,237,41.8744574,-87.7993571
584,ALLEY 584,00,ALLEYS::584::00,Jackson Blvd,Harrison St,PCC,16,33,16,1925-06-01,1925,,8,25,17,0-39,,N,686.3,238,41.8744698,-87.8002895
591,ALLEY 591,00,ALLEYS::591::00,Jackson Blvd,Harrison St,AC,16,0,0,1977-06-01,1977,,44,44,0,40-59,,N,633.5,239,41.8745205,-87.8015103
592,ALLEY 592,00,ALLEYS::592::00,Jackson Blvd,Harrison St,PCC,20,12,6,2010-06-01,2010,,92,92,0,80-100,,N,580.0,240,41.87457,-87.8029061
598-S,ALLEY 598-S,00,ALLEYS::598-S::00,Alley 598,S Maple Ave,PCC,18,45,18,1900-01-01,1900,,14,35,21,0-39,,N,235.2,241,41.8742279,-87.8041048
684,ALLEY 684,00,ALLEYS::684::00,Alley 684 N,Lexington St,PCC,18,33,18,1924-06-01,1924,,13,33,20,0-39,,N,497.5,242,41.8711658,-87.8027895
684-N,ALLEY 684-N,00,ALLEYS::684-N::00,S Maple Ave,Wisconsin Ave,PCC,16,33,16,1900-01-01,1900,,15,33,18,0-39,,N,425.0,243,41.8718482,-87.8028123
683,ALLEY 683,00,ALLEYS::683::00,Alley 683 N,Lexington St,PCC,16,12,8,2015-06-01,2015,,96,96,0,80-100,,N,501.4,244,41.871198,-87.801306
683-N,ALLEY 683-N,00,ALLEYS::683-N::00,Wisconsin Ave,Wenonah Ave,PCC,16,12,8,2015-06-01,2015,,99,99,0,80-100,,N,382.5,245,41.8718858,-87.80133
676-N,ALLEY 676-N,00,ALLEYS::676-N::00,Wenonah Ave,Clinton Ave,AC,16,0,0,1900-01-01,1900,,40,40,0,40-59,,N,383.0,246,41.8719128,-87.7999248
676,ALLEY 676,00,ALLEYS::676::00,Alley 676 N,Lexington St,AC,16,0,0,2014-06-01,2014,,81,81,0,80-100,,N,502.1,247,41.8712242,-87.7999005
675-N,ALLEY 675-N,00,ALLEYS::675-N::00,Home Ave,Clinton Ave,PCC,16,33,16,1900-01-01,1900,,10,26,16,0-39,,N,356.6,248,41.8719202,-87.798567
675,ALLEY 675,00,ALLEYS::675::00,Alley 675 N,Lexington St,PCC,16,33,16,1923-06-01,1923,,15,38,23,0-39,,N,495.6,249,41.8712405,-87.7985423
674,ALLEY 674,00,ALLEYS::674::00,Lexington St,Harvard St,AC,16,0,0,1976-06-01,1976,,42,42,0,40-59,,N,666.1,250,41.869647,-87.7984859
677,ALLEY 677,00,ALLEYS::677::00,Lexington St,Harvard St,AC,16,0,0,1978-06-01,1978,,33,33,0,0-39,,N,666.2,251,41.8696219,-87.7998433
682,ALLEY 682,00,ALLEYS::682::00,Lexington St,Harvard St,PCC,16,33,16,1923-06-01,1923,,20,33,13,0-39,,N,666.1,252,41.8695966,-87.8012485
685,ALLEY 685,00,ALLEYS::685::00,Lexington St,Harvard St,AC,18,0,0,1973-06-01,1973,,44,44,0,40-59,2027,N,666.0,253,41.86957,-87.802732
686,ALLEY 686,00,ALLEYS::686::00,Harvard St,Filmore St,PCC,18,24,9,1900-01-01,1900,,54,69,15,60-79,,N,665.0,254,41.8677444,-87.8026646
687,ALLEY 687,00,ALLEYS::687::00,Filmore St,Alley 687 S,AC,18,0,0,2015-06-01,2015,,31,31,0,0-39,,N,498.7,255,41.8661482,-87.8026049
681,ALLEY 681,00,ALLEYS::681::00,Harvard St,Filmore St,PCC,16,33,16,1927-06-01,1927,,16,33,17,0-39,,N,665.3,256,41.8677705,-87.8011817
680,ALLEY 680,00,ALLEYS::680::00,Filmore St,Alley 680 S,PCC,16,20,8,1900-01-01,1900,,66,74,8,60-79,,N,497.3,257,41.8661758,-87.8011233
678,ALLEY 678,00,ALLEYS::678::00,Harvard St,Filmore St,PCC,16,33,16,1926-06-01,1926,,19,33,14,0-39,,N,665.6,258,41.8677951,-87.799778
679,ALLEY 679,00,ALLEYS::679::00,Filmore St,Alley 679 S,AC,20,0,0,2015-06-01,2015,,45,45,0,40-59,,N,496.5,259,41.8662011,-87.7997218
672,ALLEY 672,00,ALLEYS::672::00,Filmore St,Alley 672 S,AC,16,0,0,1973-06-01,1973,,28,28,0,0-39,2028,N,511.8,260,41.8662039,-87.7983655
673,ALLEY 673,00,ALLEYS::673::00,Harvard St,Filmore St,AC,16,0,0,1973-06-01,1973,,40,41,1,40-59,,N,666.1,261,41.8678196,-87.7984221
687-S,ALLEY 687-S,00,ALLEYS::687-S::00,S Maple Ave,Wisconsin Ave,PCC,16,10,6,2005-06-01,2005,,82,82,0,80-100,,N,424.3,262,41.8654618,-87.8025784
680-S,ALLEY 680-S,00,ALLEYS::680-S::00,Wisconsin Ave,Alley 680,PCC,16,22,8,1900-01-01,1900,,34,52,18,40-59,,N,191.0,263,41.865487,-87.8014489
679-S,ALLEY 679-S,00,ALLEYS::679-S::00,Alley 679,Clinton Ave,PCC,16,10,8,1979-06-01,1979,,95,95,0,80-100,,N,191.5,264,41.8655265,-87.7993463
672-S,ALLEY 672-S,00,ALLEYS::672-S::00,Home Ave,Clinton Ave,AC,16,0,0,1973-06-01,1973,,32,32,0,0-39,2028,N,355.4,265,41.8655019,-87.7983413
670,ALLEY 670,00,ALLEYS::670::00,Harvard St,Filmore St,PCC,16,33,16,1923-06-01,1923,,13,34,21,0-39,,N,666.1,266,41.8678422,-87.7971153
671,ALLEY 671,00,ALLEYS::671::00,Filmore St,Roosevelt Rd,AC,16,0,0,1975-06-01,1975,,33,33,0,0-39,,N,662.0,267,41.8660205,-87.7970519
664,ALLEY 664,00,ALLEYS::664::00,Filmore St,Roosevelt Rd,PCC,20,10,6,2006-06-01,2006,,95,95,0,80-100,,N,664.2,268,41.8660408,-87.7957445
665,ALLEY 665,00,ALLEYS::665::00,Alley 665 N,Filmore St,PCC,16,10,8,2018-06-01,2018,,99,99,0,80-100,,N,241.0,269,41.8672823,-87.7957878
665-N,ALLEY 665-N,00,ALLEYS::665-N::00,West End,Alley 665,PCC,16,10,10,1900-01-01,1900,,100,100,0,80-100,,N,178.0,270,41.8676071,-87.7961259
662,ALLEY 662,00,ALLEYS::662::00,Harvard St,Filmore St,PCC,22,12,6,2010-06-01,2010,,95,95,0,80-100,,N,666.1,271,41.8678878,-87.7945009
663,ALLEY 663,00,ALLEYS::663::00,Filmore St,Alley 663 S,AC,16,0,0,1974-06-01,1974,,20,20,0,0-39,2027,Y,492.0,272,41.8662993,-87.7944448
656,ALLEY 656,00,ALLEYS::656::00,Filmore St,Alley 656 S,PCC,16,33,16,1925-06-01,1925,,16,31,15,0-39,,N,491.8,273,41.8663224,-87.7931793
657,ALLEY 657,00,ALLEYS::657::00,Harvard St,Filmore St,PCC,16,12,8,2016-06-01,2016,,95,95,0,80-100,,N,665.7,274,41.8679101,-87.7932359
654,ALLEY 654,00,ALLEYS::654::00,Harvard St,Filmore St,PCC,16,33,16,1923-06-01,1923,,20,33,13,0-39,,N,665.6,275,41.8679317,-87.792022
663-S,ALLEY 663-S,00,ALLEYS::663-S::00,S Grove Ave,S Oak Park Ave,PCC,16,33,16,1974-06-01,1974,,10,26,16,0-39,2027,Y,356.4,277,41.8656244,-87.7944223
648-S,ALLEY 648-S,00,ALLEYS::648-S::00,S Wesley Ave,Clarence Ave,PCC,12,12,5,2006-06-01,2006,,90,90,0,80-100,,N,333.8,278,41.865672,-87.7907146
649,ALLEY 649,00,ALLEYS::649::00,Harvard St,Filmore St,AC,16,0,0,1976-06-01,1976,,43,43,0,40-59,,N,665.6,279,41.8679531,-87.7907972
648,ALLEY 648,00,ALLEYS::648::00,Filmore St,Alley 648 S,PCC,16,12,5,2006-06-01,2006,,94,94,0,80-100,,N,498.8,280,41.8663561,-87.7907406
647-S,ALLEY 647-S,00,ALLEYS::647-S::00,Clarence Ave,S East Ave,PCC,12,12,6,2007-06-01,2007,,95,95,0,80-100,,N,333.3,281,41.865694,-87.7894905
641-S,ALLEY 641-S,00,ALLEYS::641-S::00,S East Ave,S Scoville Ave,PCC,16,33,16,1900-01-01,1900,,8,25,17,0-39,2028,N,225.4,282,41.865719,-87.7881345
640-S,ALLEY 640-S,00,ALLEYS::640-S::00,S Scoville Ave,Gunderson Ave,PCC,20,12,6,2002-06-01,2002,,86,85,-1,80-100,,N,333.5,283,41.8657372,-87.7870426
635-S,ALLEY 635-S,00,ALLEYS::635-S::00,Gunderson Ave,Elmwood Ave,PCC,16,10,8,1900-01-01,1900,,90,90,0,80-100,,N,335.1,284,41.8657582,-87.7858157
634-S,ALLEY 634-S,00,ALLEYS::634-S::00,Elmwood Ave,S Ridgeland Ave,PCC,16,10,8,2018-06-01,2018,,94,94,0,80-100,,N,333.0,285,41.865778,-87.7845896
629-S,ALLEY 629-S,00,ALLEYS::629-S::00,S Ridgeland Ave,S Cuyler Ave,PCC,16,10,8,1900-01-01,1900,,98,98,0,80-100,,N,334.9,286,41.8658027,-87.7832113
630,ALLEY 630,00,ALLEYS::630::00,North End,Filmore St,PCC,18,12,6,2004-06-01,2004,,97,98,1,80-100,,N,195.6,287,41.8675068,-87.7834226
629,ALLEY 629,00,ALLEYS::629::00,Filmore St,Alley 629 S,PCC,16,33,16,1927-06-01,1927,,16,33,17,0-39,,N,498.3,288,41.8664828,-87.7833884
634,ALLEY 634,00,ALLEYS::634::00,Filmore St,Alley 634 S,PCC,22,12,8,2018-06-01,2018,,96,96,0,80-100,,N,499.0,289,41.8664627,-87.7846129
633,ALLEY 633,00,ALLEYS::633::00,Harvard St,Filmore St,PCC,16,12,8,2018-06-01,2018,,92,92,0,80-100,,N,665.3,290,41.8680597,-87.7846675
636,ALLEY 636,00,ALLEYS::636::00,Harvard St,Filmore St,PCC,16,12,8,2018-06-01,2018,,97,97,0,80-100,,N,665.5,291,41.8680392,-87.7858953
635,ALLEY 635,00,ALLEYS::635::00,Filmore St,Alley 635 S,PCC,16,33,16,1924-06-01,1924,,10,100,90,80-100,,N,498.8,292,41.8664423,-87.7858396
640,ALLEY 640,00,ALLEYS::640::00,Filmore St,Alley 640 S,AC,18,0,0,2002-06-01,2002,,43,43,0,40-59,,N,498.5,293,41.866421,-87.7870673
641,ALLEY 641,00,ALLEYS::641::00,Filmore St,Alley 641 S,PCC,16,33,16,1928-06-01,1928,,10,26,16,0-39,2028,N,498.3,294,41.8664002,-87.788292
647,ALLEY 647,00,ALLEYS::647::00,Filmore St,Alley 647 S,PCC,16,33,16,1900-01-01,1900,,12,26,14,0-39,,N,499.0,295,41.8663781,-87.7895161
646,ALLEY 646,00,ALLEYS::646::00,Harvard St,Filmore St,AC,16,0,0,1978-06-01,1978,,47,47,0,40-59,,N,665.6,296,41.8679754,-87.7895737
642,ALLEY 642,00,ALLEYS::642::00,Harvard St,Filmore St,AC,16,0,0,1976-06-01,1976,,50,50,0,40-59,,N,665.9,297,41.867997,-87.7883481
639,ALLEY 639,00,ALLEYS::639::00,Harvard St,Filmore St,PCC,18,33,16,1925-06-01,1925,,15,26,11,0-39,,N,665.6,298,41.8680177,-87.787123
628-S,ALLEY 628-S,00,ALLEYS::628-S::00,S Cuyler Ave,S Highland Ave,PCC,16,10,8,2016-06-01,2016,,100,100,0,80-100,,N,334.7,299,41.8658181,-87.7821366
627,ALLEY 627,00,ALLEYS::627::00,Harvard St,Filmore St,PCC,20,33,20,1925-06-01,1925,,16,35,19,0-39,,N,665.3,300,41.8680964,-87.7822153
624,ALLEY 624,00,ALLEYS::624::00,Harvard St,Filmore St,PCC,16,12,6,2014-06-01,2014,,97,97,0,80-100,,N,665.5,301,41.8681135,-87.7809881
621,ALLEY 621,00,ALLEYS::621::00,Harvard St,Filmore St,AC,16,0,0,1979-06-01,1979,,34,34,0,0-39,2029,N,665.0,302,41.86813,-87.7797831
618,ALLEY 618,00,ALLEYS::618::00,Harvard St,Filmore St,PCC,16,33,16,1927-06-01,1927,,13,33,20,0-39,,N,665.6,303,41.8681483,-87.7785221
615,ALLEY 615,00,ALLEYS::615::00,Harvard St,Filmore St,PCC,16,12,8,2016-06-01,2016,,92,92,0,80-100,,N,666.2,304,41.8681659,-87.7773053
612,ALLEY 612,00,ALLEYS::612::00,Harvard St,Filmore St,AC,16,0,0,1969-06-01,1969,,43,43,0,40-59,2028,N,666.0,305,41.8681839,-87.7760761
609,ALLEY 609,00,ALLEYS::609::00,Harvard St,Filmore St,PCC,16,33,16,1924-06-01,1924,,16,100,84,80-100,,N,665.9,306,41.8682013,-87.774852
610,ALLEY 610,00,ALLEYS::610::00,Filmore St,Alley 610 S,PCC,16,10,6,2007-06-01,2007,,92,92,0,80-100,,N,501.7,307,41.8665998,-87.7747936
610-S,ALLEY 610-S,00,ALLEYS::610-S::00,S Humphrey Ave,S Austin Blvd,PCC,16,10,6,2007-06-01,2007,,92,92,0,80-100,,N,332.8,308,41.8659124,-87.7747692
611-S,ALLEY 611-S,00,ALLEYS::611-S::00,S Lyman Ave,S Humphrey Ave,PCC,16,12,8,2016-06-01,2016,,94,94,0,80-100,,N,334.7,309,41.8658921,-87.7759938
611,ALLEY 611,00,ALLEYS::611::00,Filmore St,Alley 611 S,PCC,16,12,8,2016-06-01,2016,,96,97,1,80-100,,N,502.4,310,41.8665813,-87.776018
616,ALLEY 616,00,ALLEYS::616::00,Filmore St,Alley 616 S,PCC,16,15,6,2009-06-01,2009,,96,96,0,80-100,,N,501.5,311,41.8665643,-87.7772476
616-S,ALLEY 616-S,00,ALLEYS::616-S::00,S Taylor Ave,S Lyman Ave,PCC,16,12,6,2007-06-01,2007,,89,89,0,80-100,,N,334.8,312,41.8658761,-87.7772226
617-S,ALLEY 617-S,00,ALLEYS::617-S::00,S Lombard Ave,S Taylor Ave,PCC,16,15,6,2014-06-01,2014,,97,97,0,80-100,,N,334.5,313,41.8658607,-87.7784537
617,ALLEY 617,00,ALLEYS::617::00,Filmore St,Alley 617 S,PCC,16,33,16,1926-06-01,1926,,10,100,90,80-100,,N,501.0,314,41.866548,-87.7784739
622,ALLEY 622,00,ALLEYS::622::00,Filmore St,Alley 622 S,PCC,16,12,8,2015-06-01,2015,,94,94,0,80-100,,N,499.0,315,41.8665334,-87.7797269
622-S,ALLEY 622-S,00,ALLEYS::622-S::00,S Harvey Ave,S Lombard Ave,PCC,16,12,8,2015-06-01,2015,,92,92,0,80-100,,N,334.2,316,41.865849,-87.7796866
623-S,ALLEY 623-S,00,ALLEYS::623-S::00,S Highland Ave,S Harvey Ave,PCC,16,12,8,1900-01-01,1900,,87,87,0,80-100,,N,335.3,317,41.8658321,-87.780907
623,ALLEY 623,00,ALLEYS::623::00,Filmore St,Alley 623 S,PCC,16,33,16,1927-06-01,1927,,20,42,22,40-59,,N,498.9,318,41.8665164,-87.7809316
628,ALLEY 628,00,ALLEYS::628::00,Filmore St,Alley 628 S,PCC,16,33,16,1927-06-01,1927,,24,44,20,40-59,,N,497.9,319,41.8665009,-87.7821607
625,ALLEY 625,00,ALLEYS::625::00,Garfield St,Harvard St,PCC,16,33,16,1925-06-01,1925,,17,37,20,0-39,,N,650.0,320,41.8699179,-87.7810491
620,ALLEY 620,00,ALLEYS::620::00,North End,Harvard St,PCC,20,15,6,2004-06-01,2004,,91,92,1,80-100,,N,483.6,321,41.8697055,-87.7798364
614,ALLEY 614,00,ALLEYS::614::00,Alley 614 N,Harvard St,PCC,18,15,6,2004-06-01,2004,,92,93,1,80-100,,N,413.4,322,41.8696467,-87.7773564
613,ALLEY 613,00,ALLEYS::613::00,Alley 613 N,Harvard St,PCC,16,33,16,1924-06-01,1924,,13,31,18,0-39,2025,N,369.0,323,41.8696034,-87.7761271
608,ALLEY 608,00,ALLEYS::608::00,Alley 608 N,Harvard St,PCC,16,33,16,1928-06-01,1928,,16,33,17,0-39,,N,324.0,324,41.869559,-87.7748985
608-N,ALLEY 608-N,00,ALLEYS::608-N::00,S Humphrey Ave,S Austin Blvd,PCC,16,33,16,1900-01-01,1900,,14,30,16,0-39,,N,339.1,325,41.8700035,-87.774911
613-N,ALLEY 613-N,00,ALLEYS::613-N::00,S Lyman Ave,S Humphrey Ave,PCC,16,33,16,1900-01-01,1900,,15,33,18,0-39,2025,N,337.2,326,41.8701094,-87.7761444
614-N,ALLEY 614-N,00,ALLEYS::614-N::00,S Taylor Ave,S Lyman Ave,PCC,16,15,10,2004-06-01,2004,,84,86,2,80-100,,N,337.3,327,41.8702138,-87.7773747
511,ALLEY 511,00,ALLEYS::511::00,Van Buren St,Harrison St,AC,16,0,0,1978-06-01,1978,,36,36,0,0-39,,N,666.4,328,41.8733246,-87.7774805
504,ALLEY 504,00,ALLEYS::504::00,Van Buren St,Harrison St,PCC,15,12,8,1922-06-01,1922,,95,95,0,80-100,,N,664.7,329,41.8736659,-87.7762787
503,ALLEY 503,00,ALLEYS::503::00,Van Buren St,Harrison St,PCC,18,12,6,2005-06-01,2005,,84,84,0,80-100,,N,666.1,330,41.8736832,-87.7750656
607,ALLEY 607,00,ALLEYS::607::00,Alley 607 N,Alley 607 S,PCC,16,15,8,2017-06-01,2017,,90,90,0,80-100,,N,306.6,331,41.8718907,-87.7749807
607-N,ALLEY 607-N,00,ALLEYS::607-N::00,S Humphrey Ave,S Austin Blvd,PCC,16,12,8,2017-06-01,2017,,96,96,0,80-100,,N,335.3,332,41.8723112,-87.7749974
606-N,ALLEY 606-N,00,ALLEYS::606-N::00,S Lyman Ave,S Humphrey Ave,AC,16,0,0,1976-06-01,1976,,44,44,0,40-59,,N,333.4,333,41.8722933,-87.7762247
606,ALLEY 606,00,ALLEYS::606::00,Alley 606 N,Flournoy St,AC,16,0,0,1976-06-01,1976,,31,31,0,0-39,,N,273.8,334,41.8719178,-87.7762086
605,ALLEY 605,00,ALLEYS::605::00,Alley 605 N,Flournoy St,PCC,16,12,8,1925-06-01,1925,,93,93,0,80-100,,N,239.9,335,41.8719465,-87.777432
605-N,ALLEY 605-N,00,ALLEYS::605-N::00,S Taylor Ave,S Lyman Ave,PCC,16,12,8,2015-06-01,2015,,93,93,0,80-100,,N,330.8,336,41.8722756,-87.7774437
604,ALLEY 604,00,ALLEYS::604::00,Alley 604 N,Flournoy St,PCC,16,10,6,2014-06-01,2014,,100,100,0,80-100,,N,205.8,337,41.8719752,-87.7786509
604-N,ALLEY 604-N,00,ALLEYS::604-N::00,S Lombard Ave,Alley 604,PCC,16,10,6,2014-06-01,2014,,98,98,0,80-100,,N,171.8,338,41.8722526,-87.7789769
512,ALLEY 512,00,ALLEYS::512::00,Van Buren St,Harrison St,PCC,16,33,10,1923-06-01,1923,,24,40,16,40-59,,N,666.0,339,41.8736279,-87.7787084
519,ALLEY 519,00,ALLEYS::519::00,Van Buren St,Harrison St,PCC,16,33,16,1924-06-01,1924,,20,29,9,0-39,,N,665.5,340,41.8736099,-87.7799723
603-N,ALLEY 603-N,00,ALLEYS::603-N::00,Harrison ASt,Alley 603 E,PCC,18,15,6,2011-06-01,2011,,91,91,0,80-100,,N,90.2,341,41.8723617,-87.7799242
603-S,ALLEY 603-S,00,ALLEYS::603-S::00,Alley 603 E,Flournoy St,PCC,18,12,9,2016-06-01,2016,,98,98,0,80-100,,N,167.2,342,41.8720089,-87.779904
603-E,ALLEY 603-E,00,ALLEYS::603-E::00,S Highland Ave,Alley 603 N,PCC,16,12,8,2016-06-01,2016,,97,97,0,80-100,,N,495.6,343,41.8722235,-87.7808266
534,ALLEY 534,00,ALLEYS::534::00,Van Buren St,Harrison St,AC,14,0,0,1976-06-01,1976,,3,100,97,80-100,,N,666.0,344,41.8735353,-87.7848573
601,ALLEY 601,00,ALLEYS::601::00,S Ridgeland Ave,S Cuyler Aver,PCC,16,33,16,1900-01-01,1900,,42,58,16,40-59,,N,334.9,345,41.8721787,-87.7837854
602-N,ALLEY 602-N,00,ALLEYS::602-N::00,S Cuyler Aver,S Highland Ave,PCC,16,33,16,1900-01-01,1900,,14,30,16,0-39,,N,335.2,346,41.8722019,-87.7823515
602,ALLEY 602,00,ALLEYS::602::00,Alley 602 N,Alley 602 S,PCC,18,20,18,1900-01-01,1900,,36,44,8,40-59,,N,108.6,347,41.872053,-87.7823459
527,ALLEY 527,00,ALLEYS::527::00,Van Buren St,Harrison St,PCC,16,33,16,1922-06-01,1922,,26,45,19,40-59,,N,665.1,348,41.8735735,-87.7824031
637,ALLEY 637,00,ALLEYS::637::00,Garfield St,Harvard St,PCC,16,15,6,2011-06-01,2011,,93,93,0,80-100,,N,877.9,349,41.8701561,-87.7859663
632-N,ALLEY 632-N,00,ALLEYS::632-N::00,Alley 632,S Ridgeland Ave,PCC,15,12,8,2015-06-01,2015,,99,99,0,80-100,,N,168.6,350,41.8708151,-87.7844544
632,ALLEY 632,00,ALLEYS::632::00,Garfield St,Harvard St,PCC,14,12,8,2015-06-01,2015,,96,96,0,80-100,,N,832.7,351,41.8701143,-87.7847375
631,ALLEY 631,00,ALLEYS::631::00,Garfield St,Harvard St,AC,16,0,0,1977-06-01,1977,,47,47,0,40-59,,N,666.5,352,41.8699053,-87.7835023
626,ALLEY 626,00,ALLEYS::626::00,Garfield St,Harvard St,PCC,18,15,6,2012-06-01,2012,,89,89,0,80-100,,N,666.1,353,41.8699228,-87.7822757
651,ALLEY 651,00,ALLEYS::651::00,Alley 651 N,Lexington St,PCC,16,12,5,2013-06-01,2013,,95,96,1,80-100,,N,239.9,354,41.8710235,-87.7909028
650,ALLEY 650,00,ALLEYS::650::00,Lexington St,Harvard St,PCC,16,33,16,1922-06-01,1922,,17,36,19,0-39,,N,666.5,355,41.8697803,-87.7908584
645,ALLEY 645,00,ALLEYS::645::00,Lexington St,Harvard St,AC,16,0,0,1971-06-01,1971,,21,21,0,0-39,,Y,665.1,356,41.8698008,-87.7896365
644,ALLEY 644,00,ALLEYS::644::00,Alley 644 N,Lexington St,PCC,18,15,5,2012-06-01,2012,,94,94,0,80-100,,N,195.5,357,41.8709813,-87.7896792
643,ALLEY 643,00,ALLEYS::643::00,North End,Harvard St,AC,16,0,0,1971-06-01,1971,,41,41,0,40-59,,N,482.2,358,41.8695719,-87.7884022
638,ALLEY 638,00,ALLEYS::638::00,North End,Harvard St,PCC,16,33,16,1925-06-01,1925,,15,33,18,0-39,,N,483.9,359,41.8695943,-87.7871772
667-N,ALLEY 667-N,00,ALLEYS::667-N::00,S Kenilworth Ave,S Grove Ave,PCC,16,10,10,1900-01-01,1900,,20,35,15,0-39,,N,360.1,360,41.8717105,-87.7959433
667,ALLEY 667,00,ALLEYS::667::00,Garfield St,Lexington St,PCC,18,30,18,2008-06-01,2008,,26,45,19,40-59,,N,402.9,361,41.8711579,-87.7959231
660-E,ALLEY 660-E,00,ALLEYS::660-E::00,S Grove Ave,Alley 660 N,PCC,16,12,6,2006-06-01,2006,,88,88,0,80-100,,N,209.3,362,41.8716176,-87.794813
660-W,ALLEY 660-W,00,ALLEYS::660-W::00,Alley 660 N,S Oak Park Ave,PCC,16,12,6,2006-06-01,2006,,86,90,4,80-100,,N,150.6,363,41.871574,-87.7942467
660-S,ALLEY 660-S,00,ALLEYS::660-S::00,Alley 660 E,Lexington St,PCC,20,12,6,2006-06-01,2006,,92,93,1,80-100,,N,354.9,364,41.8711165,-87.7946128
659,ALLEY 659,00,ALLEYS::659::00,Alley 659 N,Lexington St,PCC,16,33,8,1977-06-01,1977,,43,100,57,80-100,,N,117.3,365,41.8708134,-87.7933364
659-N,ALLEY 659-N,00,ALLEYS::659-N::00,S Oak Park Ave,S Euclid Ave,AC,16,0,0,1900-01-01,1900,,29,29,0,0-39,,N,332.3,366,41.8715015,-87.7933647
652,ALLEY 652,00,ALLEYS::652::00,Alley 652 N,Lexington St,PCC,18,12,6,2006-06-01,2006,,88,90,2,80-100,,N,285.2,367,41.8710653,-87.792133
652-N,ALLEY 652-N,00,ALLEYS::652-N::00,S Euclid Ave,S Wesley Ave,PCC,14,12,6,2006-06-01,2006,,92,92,0,80-100,,N,339.4,368,41.8714557,-87.7921426
651-N,ALLEY 651-N,00,ALLEYS::651-N::00,S Wesley Ave,Clarence Ave,PCC,14,15,4,2013-06-01,2013,,96,96,0,80-100,,N,336.2,369,41.871352,-87.7909103
644-N,ALLEY 644-N,00,ALLEYS::644-N::00,Clarence Ave,S East Ave,PCC,16,15,6,2012-06-01,2012,,83,83,0,80-100,,N,336.4,370,41.8712488,-87.7896835
653,ALLEY 653,00,ALLEYS::653::00,Lexington St,Harvard St,PCC,16,33,16,1924-06-01,1924,,21,39,18,0-39,,N,666.9,371,41.8697594,-87.7920837
658,ALLEY 658,00,ALLEYS::658::00,Lexington St,Harvard St,AC,16,0,0,1977-06-01,1977,,55,55,0,40-59,,N,666.9,372,41.8697379,-87.7932996
