alley_id,alley_name,section_id,pid,from_street,to_street,surface,width_ft,slab_length_ft,slab_width_ft,construction_date,construction_year,general_condition,pci_2022_2023,pci_2024,pci_change,pci_2024_band,scheduled_build_year,in_2026_cip,length_ft,object_id,centroid_latitude,centroid_longitude
261,ALLEY 261,00,ALLEYS::261::00,Thomas St,Augusta St,PCC,16,33,10,1900-01-01,1900,,17,35,18,0-39,2029,N,662.6,107,41.8989086,-87.7985518
262,ALLEY 262,00,ALLEYS::262::00,Division St,Thomas St,PCC,16,10,6,2005-06-01,2005,,95,95,0,80-100,,N,666.3,108,41.9007315,-87.7986099
257,ALLEY 257,00,ALLEYS::257::00,Thomas St,Augusta St,PCC,22,12,8,2017-06-01,2017,,97,97,0,80-100,,N,662.4,109,41.8989355,-87.7970523
256,ALLEY 256,00,ALLEYS::256::00,Division St,Thomas St,PCC,16,10,6,2014-06-01,2014,,98,98,0,80-100,,N,665.2,110,41.9007568,-87.7971046
255,ALLEY 255,00,ALLEYS::255::00,Division St,Thomas St,PCC,16,33,16,1922-06-01,1922,,19,38,19,0-39,,N,664.4,111,41.9007818,-87.7955895
254,ALLEY 254,00,ALLEYS::254::00,Thomas St,Augusta St,PCC,16,33,16,1924-06-01,1924,,18,38,20,0-39,2029,N,659.0,112,41.8989663,-87.795543
247,ALLEY 247,00,ALLEYS::247::00,Division St,Thomas St,PCC,16,12,8,2015-06-01,2015,,100,100,0,80-100,,N,720.8,113,41.9007501,-87.7930077
248,ALLEY 248,00,ALLEYS::248::00,Division St,Thomas St,PCC,16,10,8,2018-06-01,2018,,93,93,0,80-100,,N,720.9,114,41.9007288,-87.7942243
246,ALLEY 246,00,ALLEYS::246::00,Division St,Thomas St,PCC,16,13,8,2017-06-01,2017,,98,98,0,80-100,,N,720.8,115,41.9007702,-87.791795
245,ALLEY 245,00,ALLEYS::245::00,Thomas St,Alley 245 S,PCC,12,10,6,2006-06-01,2006,,99,99,0,80-100,,N,438.7,116,41.8991796,-87.7917468
245-S,ALLEY 245-S,00,ALLEYS::245-S::00,N Linden Ave,N Columbian Ave,PCC,16,12,6,2006-06-01,2006,,94,94,0,80-100,,N,330.4,117,41.8985777,-87.7917349
240,ALLEY 240,00,ALLEYS::240::00,Thomas St,Augusta St,PCC,16,12,8,1971-06-01,1971,,97,97,0,80-100,,N,604.2,118,41.8989734,-87.7905277
239,ALLEY 239,00,ALLEYS::239::00,Division St,Thomas St,PCC,22,15,6,2012-06-01,2012,,92,92,0,80-100,,N,721.0,119,41.9007912,-87.7905788
238,ALLEY 238,00,ALLEYS::238::00,Division St,Thomas St,PCC,20,15,10,2017-06-01,2017,,97,97,0,80-100,,N,720.7,120,41.900816,-87.7891547
231,ALLEY 231,00,ALLEYS::231::00,Division St,Thomas St,PCC,22,10,6,2007-06-01,2007,,94,94,0,80-100,,N,720.4,121,41.9008424,-87.7875289
232,ALLEY 232,00,ALLEYS::232::00,Thomas St,Augusta St,AC,20,0,0,1972-06-01,1972,,20,20,0,0-39,,N,607.0,122,41.8990217,-87.7874695
230,ALLEY 230,00,ALLEYS::230::00,Division St,Thomas St,AC,16,0,0,2008-06-01,2008,,28,28,0,0-39,,N,720.4,123,41.900869,-87.7859052
223,ALLEY 223,00,ALLEYS::223::00,Division St,Thomas St,PCC,16,12,6,2005-06-01,2005,,98,98,0,80-100,,N,720.4,124,41.9008915,-87.7844568
224,ALLEY 224,00,ALLEYS::224::00,Thomas St,Augusta St,PCC,22,12,6,2006-06-01,2006,,89,89,0,80-100,,N,609.7,125,41.8990698,-87.7842103
214,ALLEY 214,00,ALLEYS::214::00,Division St,Thomas St,PCC,15,33,10,1925-06-01,1925,,19,39,20,0-39,,N,719.6,126,41.9009441,-87.7808095
