objectid,icn,statistical_yearof_crash,contrib_cause_prim,contrib_cause_prim_grouping,contrib_cause_sec,type_of_first_crash,traf_control_device,traf_control_device_cond,weather_cond,lighting_cond,ts_crash_latitude,ts_crash_longitude,crash_report_city,crash_injury_severity,is_injury,is_fatal_injury,crash_injury_severity_sort,crash_time_hour,crash_time_mins,is_holiday,is_intersection,is_hit_and_run,is_work_zone_related,is_all_insured,is_any_citation,crash_report_district,crash_report_region,intersection_streets,total_fatals,total_injured,crash_day_of_week,is_teen_driver_crash,is_pedestrain,is_pedalcyclist,is_traffic_signal,is_light_support,is_culvert,is_curb,is_cable_median_barrier,a_injury_crash_ind,b_injury_crash_ind,c_injury_crash_ind,o_injury_crash_ind,ka_crash_ind,kab_crash_ind,dooring_with_pedalcyclist,did_crash_occur_in_work_zone,urban,located_by,latitude,longitude
17914,202001044092,2020,Failing to Yield Right of Way,Other,Unable to Determine,Pedestrian,No Controls,No Controls,Snow,"Darkness, Lighted Road",41.88325666618082,-87.80242033468554,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,18,39,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,Randolph St/Wisconsin Ave,0,1,Wed,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8832567,-87.8024203
18043,202001046399,2020,Failing to Yield Right of Way,Other,Unable to Determine,Pedestrian,Traffic Signal,Functioning Properly,Clear,"Darkness, Lighted Road",41.873633751662524,-87.80451982877211,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,23,30,No,Yes,No,Yes,Yes,No,District 1,Region 1,Expressway/Harlem Ave,0,1,Sat,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8736338,-87.8045198
18057,202301270290,2023,Failing to Yield Right of Way,Other,(N/A),Pedestrian,No Controls,No Controls,Clear,Daylight,41.88865816217111,-87.79607742000918,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,15,53,No,No,No,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Fri,Yes,Yes,No,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.8886582,-87.7960774
18097,202401159730,2024,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,Traffic Signal,Functioning Properly,Clear,"Darkness, Lighted Road",41.88685,-87.79446,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,19,53,No,No,Yes,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Sat,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.88685,-87.79446
18306,202301271662,2023,Failing to Yield Right of Way,Other,(N/A),Pedestrian,Traffic Signal,Functioning Properly,Clear,"Darkness, Lighted Road",41.88158075393913,-87.79433000129464,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,23,09,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,S Oak Park Ave/Washington Blvd,0,1,Mon,No,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8815808,-87.79433
18527,202001052652,2020,Unable to Determine,Other,Unable to Determine,Pedestrian,No Controls,No Controls,Cloudy/Overcast,Daylight,41.8798159589496,-87.78765511779874,Oak Park,0-Property damage crash,No,No,4,18,54,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,0,Thu,No,Yes,No,No,No,No,No,No,0,0,0,1,0,0,No,No,Urban,Coordinate,41.879816,-87.7876551
18575,202301274013,2023,Failing to Reduce Speed to Avoid Crash,Speed,Unable to Determine,Pedestrian,Other,No Controls,Clear,Daylight,41.877621131591916,-87.7745718501733,Oak Park,A-Incapacitating injury crash,Yes,No,1,15,12,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,S Austin Blvd/W Adams Blvd,0,1,Wed,No,Yes,No,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.8776211,-87.7745718
18779,202001057277,2020,Failing to Yield Right of Way,Other,Failing to Reduce Speed to Avoid Crash,Pedestrian,Stop Sign,Functioning Properly,Rain,Daylight,41.88169013157336,-87.78613921450679,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,14,56,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,S Elmwood Ave/Washington Blvd,0,1,Mon,Yes,Yes,No,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.8816901,-87.7861392
19026,202201018770,2022,Failing to Yield Right of Way,Other,Unable to Determine,Pedestrian,No Controls,No Controls,Clear,Daylight,41.90865290490181,-87.77948725929262,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,10,09,No,No,No,Yes,Yes,Yes,District 1,Region 1,(N/A),0,1,Mon,No,Yes,No,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.9086529,-87.7794873
19168,202301060652,2023,Failing to Yield Right of Way,Other,Improper Turning/No Signal,Pedestrian,Stop Sign,Functioning Properly,Rain,Daylight,41.86723796811758,-87.77784946119671,Oak Park,A-Incapacitating injury crash,Yes,No,1,17,39,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,Fillmore St/Taylor Ave,0,1,Wed,No,Yes,No,No,No,No,No,No,1,0,0,0,1,1,No,No,Urban,Coordinate,41.867238,-87.7778495
19483,202101253857,2021,Improper Overtaking/Passing,Other,Failing to Reduce Speed to Avoid Crash,Pedalcyclist,No Controls,No Controls,Clear,Dusk,41.90728367380268,-87.79257951098454,Oak Park,B-Non-incapacitating injury crash,Yes,No,2,18,47,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,1,Mon,No,No,Yes,No,No,No,No,No,0,1,0,0,0,1,No,No,Urban,Coordinate,41.9072837,-87.7925795
19578,202301080189,2023,(N/A),Other,(N/A),Pedestrian,Traffic Signal,Functioning Properly,Snow,"Darkness, Lighted Road",41.87965960274406,-87.80472998210415,Oak Park,K-Fatal crash,No,Yes,0,23,17,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,Harlem Ave/Madison St,1,0,Fri,No,Yes,No,No,No,No,No,No,0,0,0,0,1,1,No,No,Urban,Coordinate,41.8796596,-87.80473
19579,202301065571,2023,Failing to Yield Right of Way,Other,Unable to Determine,Pedestrian,Stop Sign,Functioning Properly,Rain,Daylight,41.890582022516014,-87.8026665580371,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,07,47,No,Yes,No,Yes,Yes,Yes,District 1,Region 1,N Marion St/Ontario St,0,1,Mon,No,Yes,No,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.890582,-87.8026666
19596,202001069645,2020,Failing to Reduce Speed to Avoid Crash,Speed,(N/A),Pedestrian,Stop Sign,Functioning Properly,Clear,Daylight,41.8810425615988,-87.78448127094643,Oak Park,0-Property damage crash,No,No,4,08,30,No,No,No,Yes,Yes,No,District 1,Region 1,(N/A),0,0,Tue,No,Yes,No,No,No,No,No,No,0,0,0,1,0,0,No,No,Urban,Coordinate,41.8810426,-87.7844813
19744,202301413084,2023,Improper Overtaking/Passing,Other,Failing to Reduce Speed to Avoid Crash,Pedalcyclist,Stop Sign,Functioning Properly,Clear,"Darkness, Lighted Road",41.891717331178256,-87.78479662806477,Oak Park,"C-Injury reported, not evident crash",Yes,No,3,17,10,No,Yes,Yes,Yes,Yes,No,District 1,Region 1,Erie St/N Ridgeland Ave,0,1,Wed,Yes,No,Yes,No,No,No,No,No,0,0,1,0,0,0,No,No,Urban,Coordinate,41.8917173,-87.7847966
