series,id,name,line,in_oak_park,date,daytype,rides,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,month_total
bus_route_monthly,91,Austin,,,2015-09-01,,,7443.70,4277.90,2827.10,187566
bus_route_monthly,126,Jackson,,,2015-10-01,,,6893.40,3099.80,2318.80,176429
bus_route_monthly,20,Madison,,,2015-10-01,,,18894.60,11245.70,8252.10,504917
bus_route_monthly,66,Chicago,,,2015-10-01,,,24416.10,14850.40,10673.30,654100
bus_route_monthly,70,Division,,,2015-10-01,,,10451.70,6224.50,4684.70,279799
bus_route_monthly,86,Narragansett/Ridgeland,,,2015-10-01,,,3381.80,0,0,74400
bus_route_monthly,90,Harlem,,,2015-10-01,,,5637.20,3616.50,2613.50,152554
bus_route_monthly,91,Austin,,,2015-10-01,,,7557.80,3973.40,2971.80,198025
bus_route_monthly,126,Jackson,,,2015-11-01,,,6263.80,2879.10,2248.70,150284
bus_route_monthly,20,Madison,,,2015-11-01,,,17628.90,9830.20,7676.20,437956
bus_route_monthly,66,Chicago,,,2015-11-01,,,23002.40,13661.60,10186.60,575814
bus_route_monthly,70,Division,,,2015-11-01,,,9626.60,5714.80,4390.80,241736
bus_route_monthly,86,Narragansett/Ridgeland,,,2015-11-01,,,2847.30,0,0,56946
bus_route_monthly,90,Harlem,,,2015-11-01,,,5241.40,3307.90,2317.10,131963
bus_route_monthly,91,Austin,,,2015-11-01,,,6975.30,3570.70,2628.50,169560
bus_route_monthly,126,Jackson,,,2015-12-01,,,5391.90,2735.20,1881.10,138967
bus_route_monthly,20,Madison,,,2015-12-01,,,16651.10,9483.30,7286.50,440689
bus_route_monthly,66,Chicago,,,2015-12-01,,,21814.80,13995.80,9732.60,584573
bus_route_monthly,70,Division,,,2015-12-01,,,8914.20,5628.20,3953.80,238394
bus_route_monthly,86,Narragansett/Ridgeland,,,2015-12-01,,,1884.20,0,0,41452
bus_route_monthly,90,Harlem,,,2015-12-01,,,4941.20,3577.90,2150.80,133772
bus_route_monthly,91,Austin,,,2015-12-01,,,6446.10,3665,2502.40,168987
bus_route_monthly,126,Jackson,,,2016-01-01,,,5824.80,2653.30,1711,140029
bus_route_monthly,20,Madison,,,2016-01-01,,,17359.10,9457.70,6640.30,434311
bus_route_monthly,66,Chicago,,,2016-01-01,,,22819,12956.30,8943.40,574821
bus_route_monthly,70,Division,,,2016-01-01,,,9155.40,5300.60,3645.10,231482
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-01-01,,,2335.60,0,0,46711
bus_route_monthly,90,Harlem,,,2016-01-01,,,4513,2918.70,1728.70,115226
bus_route_monthly,91,Austin,,,2016-01-01,,,6389.30,3310.60,2132.10,157133
bus_route_monthly,126,Jackson,,,2016-02-01,,,6059.40,2862.80,2038.10,146852
bus_route_monthly,20,Madison,,,2016-02-01,,,17999.50,10708.20,7967.20,452692
bus_route_monthly,66,Chicago,,,2016-02-01,,,23133.10,13998.30,10254.40,582805
bus_route_monthly,70,Division,,,2016-02-01,,,9240.90,5504.30,4118.50,232551
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-02-01,,,2653.80,0,0,55730
bus_route_monthly,90,Harlem,,,2016-02-01,,,4738.50,3025.10,2027.40,119718
bus_route_monthly,91,Austin,,,2016-02-01,,,6552,3490.80,2428,161268
bus_route_monthly,126,Jackson,,,2016-03-01,,,6006.30,2914.40,2084.20,158139
bus_route_monthly,20,Madison,,,2016-03-01,,,18029.10,10389.50,7535.80,486369
bus_route_monthly,66,Chicago,,,2016-03-01,,,23278.30,14275.20,10091.90,632870
bus_route_monthly,70,Division,,,2016-03-01,,,9160.90,5320.10,3891.50,247546
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-03-01,,,2546.60,0,0,58572
bus_route_monthly,90,Harlem,,,2016-03-01,,,4904.10,3448.20,2018.40,134661
bus_route_monthly,91,Austin,,,2016-03-01,,,6716,3625.60,2459.30,178809
bus_route_monthly,126,Jackson,,,2016-04-01,,,5720.70,2853,2131.70,142927
bus_route_monthly,20,Madison,,,2016-04-01,,,17034.20,10071.80,7624.90,438577
bus_route_monthly,66,Chicago,,,2016-04-01,,,22984.70,13955.30,11245.80,597440
bus_route_monthly,70,Division,,,2016-04-01,,,9007.80,5482.50,4320.20,233858
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-04-01,,,2499.80,0,0,52495
bus_route_monthly,90,Harlem,,,2016-04-01,,,4952.10,3203,2237.30,128959
bus_route_monthly,91,Austin,,,2016-04-01,,,6554.90,3552.10,2611.80,165860
bus_route_monthly,126,Jackson,,,2016-05-01,,,5659.10,2649.30,2141.10,142284
bus_route_monthly,20,Madison,,,2016-05-01,,,17473.30,9789.20,7833.60,453097
bus_route_monthly,66,Chicago,,,2016-05-01,,,23046.40,14252.30,11148.70,607875
bus_route_monthly,70,Division,,,2016-05-01,,,9271.70,5471.40,4365.70,242785
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-05-01,,,2536.70,0,0,53271
bus_route_monthly,90,Harlem,,,2016-05-01,,,4768.70,3206.90,2218.50,126281
bus_route_monthly,91,Austin,,,2016-05-01,,,6795.80,3494.10,2605.80,172323
bus_route_monthly,126,Jackson,,,2016-06-01,,,4970.60,2595.70,2177.90,128447
bus_route_monthly,20,Madison,,,2016-06-01,,,17032.90,10494.30,8274.30,449798
bus_route_monthly,66,Chicago,,,2016-06-01,,,22761.10,15293.50,11649.70,608517
bus_route_monthly,70,Division,,,2016-06-01,,,8343,5067.60,4455.40,221639
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-06-01,,,2187.50,0,0,48124
bus_route_monthly,90,Harlem,,,2016-06-01,,,4757.70,2911.40,2287.10,125462
bus_route_monthly,91,Austin,,,2016-06-01,,,6516.10,3567.90,2664.90,168285
bus_route_monthly,126,Jackson,,,2016-07-01,,,4588.20,2763.30,2119.20,118295
bus_route_monthly,20,Madison,,,2016-07-01,,,16181.60,10238.30,7943.40,422485
bus_route_monthly,66,Chicago,,,2016-07-01,,,22349.40,14949.10,11757.40,592279
bus_route_monthly,70,Division,,,2016-07-01,,,7534.70,5014.90,4075.70,200222
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-07-01,,,1737.70,0,0,34754
bus_route_monthly,90,Harlem,,,2016-07-01,,,4529.10,3057.90,2044.60,118139
bus_route_monthly,91,Austin,,,2016-07-01,,,5893.10,3602.50,2601.40,151484
bus_route_monthly,126,Jackson,,,2016-08-01,,,4546.60,2662.50,2066.90,123490
bus_route_monthly,20,Madison,,,2016-08-01,,,16056.20,10080.40,8119.80,442092
bus_route_monthly,66,Chicago,,,2016-08-01,,,21911.70,14226.40,11128.70,605390
bus_route_monthly,70,Division,,,2016-08-01,,,7858.90,5495.10,4469.90,220614
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-08-01,,,1754.70,0,0,40359
bus_route_monthly,90,Harlem,,,2016-08-01,,,4711.70,3220.40,2314.30,130508
bus_route_monthly,91,Austin,,,2016-08-01,,,5896.40,3753.80,2624.20,161129
bus_route_monthly,126,Jackson,,,2016-09-01,,,5960.10,3033.20,2220.80,148398
bus_route_monthly,20,Madison,,,2016-09-01,,,18161.10,10163,8005.20,462062
bus_route_monthly,66,Chicago,,,2016-09-01,,,23010.10,14425.30,11018,596003
bus_route_monthly,70,Division,,,2016-09-01,,,9356.30,5371.20,4299,239462
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-09-01,,,3224,0,0,67704
bus_route_monthly,90,Harlem,,,2016-09-01,,,4856.40,3337.70,2384.90,127260
bus_route_monthly,91,Austin,,,2016-09-01,,,6850.70,3817.60,2800.50,173137
bus_route_monthly,126,Jackson,,,2016-10-01,,,5866.60,2904.50,1938.40,147414
bus_route_monthly,20,Madison,,,2016-10-01,,,18020.90,10628.30,7682.10,469990
bus_route_monthly,66,Chicago,,,2016-10-01,,,22945.40,14554.70,10450,606878
bus_route_monthly,70,Division,,,2016-10-01,,,9463.60,5544.40,4085.10,246884
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-10-01,,,3257.30,0,0,68404
bus_route_monthly,90,Harlem,,,2016-10-01,,,4990.80,3451.10,2288.50,133504
bus_route_monthly,91,Austin,,,2016-10-01,,,6959,3805.10,2663,178479
bus_route_monthly,126,Jackson,,,2016-11-01,,,5377.50,2728.80,1931.90,133503
bus_route_monthly,20,Madison,,,2016-11-01,,,16891.30,9620.60,7138.20,428892
bus_route_monthly,66,Chicago,,,2016-11-01,,,21589,13086,9213.80,551782
bus_route_monthly,70,Division,,,2016-11-01,,,8927.60,5146.20,3740.30,226766
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-11-01,,,2851.80,0,0,59889
bus_route_monthly,90,Harlem,,,2016-11-01,,,4914.90,3113.50,2055.30,125944
bus_route_monthly,91,Austin,,,2016-11-01,,,6608,3526.50,2491.70,165332
bus_route_monthly,126,Jackson,,,2016-12-01,,,4792.60,2325.30,1629.80,120421
bus_route_monthly,20,Madison,,,2016-12-01,,,15993.40,9421.70,6235.40,414148
bus_route_monthly,66,Chicago,,,2016-12-01,,,20297.10,12802.30,8224.50,531373
bus_route_monthly,70,Division,,,2016-12-01,,,8026.80,4636.60,3182.70,207659
bus_route_monthly,86,Narragansett/Ridgeland,,,2016-12-01,,,2177.40,0,0,45726
bus_route_monthly,90,Harlem,,,2016-12-01,,,4302.80,2891.60,1809.10,113862
bus_route_monthly,91,Austin,,,2016-12-01,,,5796.10,3237.10,2063.40,148220
bus_route_monthly,126,Jackson,,,2017-01-01,,,5083.30,2329.70,1718.80,126382
bus_route_monthly,20,Madison,,,2017-01-01,,,15963,8263.20,6520.60,407399
bus_route_monthly,66,Chicago,,,2017-01-01,,,20729.90,11833.90,8925.70,536219
bus_route_monthly,70,Division,,,2017-01-01,,,8397.50,4519.10,3434.70,215031
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-01-01,,,2249.80,0,0,47247
bus_route_monthly,90,Harlem,,,2017-01-01,,,4116.70,2497.10,1766,107036
bus_route_monthly,91,Austin,,,2017-01-01,,,6103.20,3038.60,2217.40,153626
bus_route_monthly,126,Jackson,,,2017-02-01,,,5649.70,2673.20,1961.60,131533
bus_route_monthly,20,Madison,,,2017-02-01,,,17237.50,9706.80,7454.50,413395
bus_route_monthly,66,Chicago,,,2017-02-01,,,22105.30,13117.50,9582.90,532909
bus_route_monthly,70,Division,,,2017-02-01,,,9115.70,5118.20,3906.40,218412
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-02-01,,,2734.70,0,0,54695
bus_route_monthly,90,Harlem,,,2017-02-01,,,4505.80,2622.60,2090.10,108966
bus_route_monthly,91,Austin,,,2017-02-01,,,6632.50,3302.20,2437.40,155609
bus_route_monthly,126,Jackson,,,2017-03-01,,,5728.10,2568.40,2011.40,150065
bus_route_monthly,20,Madison,,,2017-03-01,,,17103.10,9112.30,7360.30,459261
bus_route_monthly,66,Chicago,,,2017-03-01,,,22444,12865.30,9678.50,606388
bus_route_monthly,70,Division,,,2017-03-01,,,8998.30,4803.70,3787.40,241326
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-03-01,,,2758.50,0,0,63445
bus_route_monthly,90,Harlem,,,2017-03-01,,,4439.80,2713.40,2075.60,121272
bus_route_monthly,91,Austin,,,2017-03-01,,,6584.10,3085,2396.70,173362
bus_route_monthly,126,Jackson,,,2017-04-01,,,5380.80,2635.90,1888.60,130238
bus_route_monthly,20,Madison,,,2017-04-01,,,16202.30,9411,7146.30,406833
bus_route_monthly,66,Chicago,,,2017-04-01,,,21895.50,13476.90,9751.40,554052
bus_route_monthly,70,Division,,,2017-04-01,,,8613.60,5204.40,3912.20,217856
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-04-01,,,2319.70,0,0,46395
bus_route_monthly,90,Harlem,,,2017-04-01,,,4563.70,2896.90,1959.60,115558
bus_route_monthly,91,Austin,,,2017-04-01,,,6337.80,3399.70,2507.10,156290
bus_route_monthly,126,Jackson,,,2017-05-01,,,5608.10,2626.50,2027.60,144023
bus_route_monthly,20,Madison,,,2017-05-01,,,16670.10,8993.50,7115.70,438296
bus_route_monthly,66,Chicago,,,2017-05-01,,,22396.50,13560.60,10115.50,597544
bus_route_monthly,70,Division,,,2017-05-01,,,8981,4879,4022.90,237213
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-05-01,,,2478.70,0,0,54532
bus_route_monthly,90,Harlem,,,2017-05-01,,,4604.40,3047.60,2152.30,124249
bus_route_monthly,91,Austin,,,2017-05-01,,,6810.80,3396.30,2640.90,176627
bus_route_monthly,126,Jackson,,,2017-06-01,,,5127.90,2737.60,2082.50,132095
bus_route_monthly,20,Madison,,,2017-06-01,,,15944.10,9550.10,7827.40,420280
bus_route_monthly,66,Chicago,,,2017-06-01,,,22426.80,14781.60,11655.50,599137
bus_route_monthly,70,Division,,,2017-06-01,,,8424.50,4952.90,4533.40,223284
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-06-01,,,2100.70,0,0,46215
bus_route_monthly,90,Harlem,,,2017-06-01,,,4690.10,2954.60,2180.50,123722
bus_route_monthly,91,Austin,,,2017-06-01,,,6494,3648.40,2759.20,168498
bus_route_monthly,126,Jackson,,,2017-07-01,,,4794.70,2639.80,2150.70,121998
bus_route_monthly,20,Madison,,,2017-07-01,,,15127,9429.90,7525.80,394844
bus_route_monthly,66,Chicago,,,2017-07-01,,,21538.70,14799.20,11777.50,575436
bus_route_monthly,70,Division,,,2017-07-01,,,7862.40,5269.80,4226.50,208957
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-07-01,,,1670.70,0,0,33413
bus_route_monthly,90,Harlem,,,2017-07-01,,,4492.40,2938.60,2099.30,117137
bus_route_monthly,91,Austin,,,2017-07-01,,,5929.40,3633,2726.80,153113
bus_route_monthly,126,Jackson,,,2017-08-01,,,4873.10,2843.20,1974.50,131352
bus_route_monthly,20,Madison,,,2017-08-01,,,15445.80,9451,7281.70,422185
bus_route_monthly,66,Chicago,,,2017-08-01,,,21877.50,14298.80,10879.40,603895
bus_route_monthly,70,Division,,,2017-08-01,,,8112.40,5376.20,4096,224475
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-08-01,,,1778.70,0,0,40911
bus_route_monthly,90,Harlem,,,2017-08-01,,,4707.40,3045.80,2116.90,128920
bus_route_monthly,91,Austin,,,2017-08-01,,,6111.40,3515.40,2729.60,165543
bus_route_monthly,126,Jackson,,,2017-09-01,,,5925.50,2923.30,2077.20,143513
bus_route_monthly,20,Madison,,,2017-09-01,,,17389.90,9989.50,7339,434440
bus_route_monthly,66,Chicago,,,2017-09-01,,,23472,14628.20,11095.30,598058
bus_route_monthly,70,Division,,,2017-09-01,,,9394.60,5313,4242.50,235670
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-09-01,,,3106.70,0,0,62133
bus_route_monthly,90,Harlem,,,2017-09-01,,,4861.30,3066.20,2150.40,123309
bus_route_monthly,91,Austin,,,2017-09-01,,,7206,3566.10,2873.30,176317
bus_route_monthly,126,Jackson,,,2017-10-01,,,5704.80,2558.50,1857.20,145025
bus_route_monthly,20,Madison,,,2017-10-01,,,17197.50,9057.70,7213.50,450642
bus_route_monthly,66,Chicago,,,2017-10-01,,,23299.30,13609.80,10366.40,618857
bus_route_monthly,70,Division,,,2017-10-01,,,9387.70,5080,3994.70,246823
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-10-01,,,3083,0,0,67827
bus_route_monthly,90,Harlem,,,2017-10-01,,,4802.90,2616.80,2143.90,126850
bus_route_monthly,91,Austin,,,2017-10-01,,,6969.90,3230.50,2702.20,179771
bus_route_monthly,126,Jackson,,,2017-11-01,,,5392.20,2335.70,1828.90,131724
bus_route_monthly,20,Madison,,,2017-11-01,,,16790.90,8558.50,6876.70,421226
bus_route_monthly,66,Chicago,,,2017-11-01,,,22578.80,12970.90,9118.20,571630
bus_route_monthly,70,Division,,,2017-11-01,,,8964.50,4802.10,3737.80,226151
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-11-01,,,2791.90,0,0,58630
bus_route_monthly,90,Harlem,,,2017-11-01,,,4581.20,2597.20,1871.30,115951
bus_route_monthly,91,Austin,,,2017-11-01,,,6727.20,3037.70,2407.20,165458
bus_route_monthly,126,Jackson,,,2017-12-01,,,4756.50,2378.60,1592.10,116575
bus_route_monthly,20,Madison,,,2017-12-01,,,15536.20,8530.20,6090,389915
bus_route_monthly,66,Chicago,,,2017-12-01,,,21046.20,12560.80,8291,533473
bus_route_monthly,70,Division,,,2017-12-01,,,8183,4466.70,3350.20,206094
bus_route_monthly,86,Narragansett/Ridgeland,,,2017-12-01,,,2159,0,0,43180
bus_route_monthly,90,Harlem,,,2017-12-01,,,4156.70,2732,1668.60,106806
bus_route_monthly,91,Austin,,,2017-12-01,,,5970.80,3022.50,2106.90,147170
bus_route_monthly,126,Jackson,,,2018-01-01,,,4793.40,2121.30,1478.30,121332
bus_route_monthly,20,Madison,,,2018-01-01,,,15266.60,8500.10,6053.60,400133
bus_route_monthly,66,Chicago,,,2018-01-01,,,21307.60,12232.80,8053.90,557969
bus_route_monthly,70,Division,,,2018-01-01,,,8195.30,4567.30,3241.90,214775
bus_route_monthly,86,Narragansett/Ridgeland,,,2018-01-01,,,2223.70,0,0,48921
bus_route_monthly,90,Harlem,,,2018-01-01,,,3842.30,2276.30,1410.70,100689
bus_route_monthly,91,Austin,,,2018-01-01,,,5894.10,2938.80,1979.70,151324
bus_route_monthly,126,Jackson,,,2018-02-01,,,5023.10,2222.30,1636.10,115896
bus_route_monthly,20,Madison,,,2018-02-01,,,16383.70,8511.40,6452.90,387531
bus_route_monthly,66,Chicago,,,2018-02-01,,,22576.80,12863.70,9079.70,539309
bus_route_monthly,70,Division,,,2018-02-01,,,8706.60,4970.50,3823.30,209307
bus_route_monthly,86,Narragansett/Ridgeland,,,2018-02-01,,,2501.40,0,0,50027
bus_route_monthly,90,Harlem,,,2018-02-01,,,3978.40,2303,1522.40,94870
bus_route_monthly,91,Austin,,,2018-02-01,,,6307.40,2929.50,2099.10,146263
bus_route_monthly,126,Jackson,,,2018-03-01,,,5086.80,2389.80,1845,131239
bus_route_monthly,20,Madison,,,2018-03-01,,,16622.40,9207.40,7309,440965
bus_route_monthly,66,Chicago,,,2018-03-01,,,22662.30,13294.30,9828.30,604354
bus_route_monthly,70,Division,,,2018-03-01,,,8716.70,4928.30,4064.20,232667
bus_route_monthly,86,Narragansett/Ridgeland,,,2018-03-01,,,2358.30,0,0,51883
bus_route_monthly,90,Harlem,,,2018-03-01,,,4271.50,2617.70,1979.80,114981
bus_route_monthly,91,Austin,,,2018-03-01,,,6262.40,3181.90,2458.10,163516
bus_route_monthly,126,Jackson,,,2018-04-01,,,5193.40,2504.70,1732.30,127742
bus_route_monthly,20,Madison,,,2018-04-01,,,16637.50,9324,7103.80,422202
bus_route_monthly,66,Chicago,,,2018-04-01,,,22892,13381.40,9337,580942
bus_route_monthly,70,Division,,,2018-04-01,,,8879,5001.80,3865.60,225795
bus_route_monthly,86,Narragansett/Ridgeland,,,2018-04-01,,,2603.60,0,0,54676
bus_route_monthly,90,Harlem,,,2018-04-01,,,4357.20,2741.30,1873.10,111832
bus_route_monthly,91,Austin,,,2018-04-01,,,6260.50,3102.10,2201.10,154883
bus_route_monthly,126,Jackson,,,2018-05-01,,,5139.90,2398,1902.20,132180
bus_route_monthly,20,Madison,,,2018-05-01,,,16830.30,9602.60,7400.50,445680
bus_route_monthly,66,Chicago,,,2018-05-01,,,22669.10,13972.10,10123.30,605225
bus_route_monthly,70,Division,,,2018-05-01,,,9046.70,5049.20,4025.10,239350
bus_route_monthly,86,Narragansett/Ridgeland,,,2018-05-01,,,2430.30,0,0,53467
bus_route_monthly,90,Harlem,,,2018-05-01,,,4488.20,2953.90,1977.50,120443
bus_route_monthly,91,Austin,,,2018-05-01,,,6592.20,3256.10,2354.40,169824
bus_route_monthly,126,Jackson,,,2018-06-01,,,4651.20,2399.40,1872.10,117162
bus_route_monthly,20,Madison,,,2018-06-01,,,16026.30,9431,7419.30,413384
bus_route_monthly,66,Chicago,,,2018-06-01,,,22163.90,14513.10,10398.80,579603
bus_route_monthly,70,Division,,,2018-06-01,,,8300.60,5200.80,4361.40,217761
bus_route_monthly,86,Narragansett/Ridgeland,,,2018-06-01,,,1893.80,0,0,39770
bus_route_monthly,90,Harlem,,,2018-06-01,,,4808.60,2842.80,1971.60,123080
bus_route_monthly,91,Austin,,,2018-06-01,,,6094.90,3330.90,2432.30,154376
bus_route_monthly,126,Jackson,,,2018-07-01,,,4704.40,2408.70,1963.90,120211
bus_route_monthly,20,Madison,,,2018-07-01,,,15535.60,9453.40,7487.70,408988
bus_route_monthly,66,Chicago,,,2018-07-01,,,21932.90,14685.60,11189.10,586467
bus_route_monthly,70,Division,,,2018-07-01,,,7684,4937,4118.20,205821
bus_route_monthly,86,Narragansett/Ridgeland,,,2018-07-01,,,1619.30,0,0,34006
bus_route_monthly,90,Harlem,,,2018-07-01,,,4526.70,2904,2002.70,118692
bus_route_monthly,91,Austin,,,2018-07-01,,,5876.10,3205.40,2406.60,150660
bus_route_monthly,126,Jackson,,,2018-08-01,,,4537.40,2484.40,1885.10,121838
