object_id,common_name,latin_name,genus,genus_source,dbh_in,height_ft,spread_ft,latitude,longitude,nearest_street,block,block_distance_ft,global_id
5620,MAPLE-NORWAY,Acer platanoides,Acer,latin,18,40,30,41.9037032,-87.7946105,BERKSHIRE ST,700 BERKSHIRE ST,26.3,37300048-bc50-4c2e-aee8-5a7812f0f8ce
5621,OAK-SWAMP WHITE,Quercus bicolor,Quercus,latin,8,30,20,41.9037013,-87.7944392,BERKSHIRE ST,700 BERKSHIRE ST,24.9,771bd11a-d7a7-4913-b87d-3d04adfc94dc
5622,MAPLE-RED,Acer rubrum,Acer,latin,17,20,30,41.90369,-87.7942226,BERKSHIRE ST,700 BERKSHIRE ST,19.6,80e27c46-8efa-4224-b9c5-4055bd34f7ae
5623,PEAR-CALLERY,Pyrus calleryana,Pyrus,latin,10,20,20,41.9036958,-87.7940893,BERKSHIRE ST,700 BERKSHIRE ST,21.0,5f7e3f8c-3043-43c3-977e-a4adcfdf71b6
5626,ELM-HYBRID,Ulmus 'Morton Glossy',Ulmus,latin,13,30,20,41.9040359,-87.7937887,N EUCLID AVE,1000 N EUCLID AVE,21.3,5bdaabc9-a314-4538-b874-238e8e5b8498
5627,HACKBERRY,Celtis occidentalis,Celtis,latin,22,40,40,41.9041715,-87.7937917,N EUCLID AVE,1000 N EUCLID AVE,21.1,7964fa92-537f-40f7-8a74-e1d624a55ad5
5628,MAPLE-NORWAY,Acer platanoides,Acer,latin,19,50,40,41.9042787,-87.7937969,N EUCLID AVE,1000 N EUCLID AVE,21.7,21a9232f-c2c5-495c-9f42-28b0f2771a67
5629,HACKBERRY,Celtis occidentalis,Celtis,latin,19,30,30,41.9044579,-87.7938034,N EUCLID AVE,1000 N EUCLID AVE,22.1,f1b27840-7362-42b7-8d1d-4d3508f3f059
5632,OAK-SWAMP WHITE,Quercus bicolor,Quercus,latin,15,40,30,41.9047922,-87.7938186,N EUCLID AVE,1000 N EUCLID AVE,23.7,c69da3ed-8ae6-4dae-805f-db794bbea320
5633,MAPLE-AUTUMN BLAZE,Acer x freemanii 'Jeffersred',Acer,latin,15,40,30,41.9049066,-87.7938047,N EUCLID AVE,1000 N EUCLID AVE,19.0,70c62e36-71b5-41ce-bb42-d40629ec246a
5634,MAPLE-NORWAY,Acer platanoides,Acer,latin,9,30,20,41.9049838,-87.7938251,N EUCLID AVE,1000 N EUCLID AVE,23.9,845f71b0-06b3-4183-8091-cb38f92de8d9
5637,ELM-AMERICAN,Ulmus americana,Ulmus,latin,38,50,70,41.9052486,-87.7938124,N EUCLID AVE,1000 N EUCLID AVE,18.4,6dc0ee07-fae3-4077-b3ba-22fd4609b37b
5639,HACKBERRY,Celtis occidentalis,Celtis,latin,17,40,30,41.9055274,-87.7939623,GREENFIELD ST,700 GREENFIELD ST,21.3,f62753ca-8c7a-4079-96e5-f86413b57d5a
5645,LONDON PLANETREE,Platanus x acerifolia,Platanus,latin,7,30,20,41.9056445,-87.79459,GREENFIELD ST,700 GREENFIELD ST,24.2,307ae4b2-3b80-4e7f-aa3e-7d81cdacd502
5647,MAPLE-FREEMAN,Acer x freemanii 'Jeffersred',Acer,latin,10,40,20,41.9056534,-87.7939633,GREENFIELD ST,700 GREENFIELD ST,24.6,01b78edf-2af1-433a-9861-a979c8652b76
5648,OAK-SWAMP WHITE,Quercus bicolor,Quercus,latin,17,40,40,41.9072943,-87.7923358,LE MOYNE PKWY,600 LE MOYNE PKWY,25.7,2cf477e9-9db4-4c55-b3da-fb4ca4263f18
5649,LINDEN-AMERICAN,Tilia americana,Tilia,latin,25,50,40,41.9072932,-87.7921677,LE MOYNE PKWY,600 LE MOYNE PKWY,24.8,e08fd794-b3c0-4e50-ad59-e56e2ba0737a
5650,KENTUCKY COFFEETREE,Gymnocladus dioicus,Gymnocladus,latin,13,30,30,41.9072982,-87.7917963,LE MOYNE PKWY,600 LE MOYNE PKWY,24.9,8840c742-3204-4430-a0ab-e9c6fa3658a7
5651,LINDEN-AMERICAN,Tilia americana,Tilia,latin,21,40,30,41.9073067,-87.791543,LE MOYNE PKWY,600 LE MOYNE PKWY,26.9,0f0b67c7-fae5-4dba-aa29-688063afb4fe
5652,LONDON PLANETREE,Platanus x acerifolia,Platanus,latin,9,30,20,41.9071803,-87.791538,LE MOYNE PKWY,600 LE MOYNE PKWY,19.2,66e0bddc-d2e2-4ad6-8361-d01d08fc10be
5653,BEECH-EUROPEAN,Fagus sylvatica,Fagus,latin,5,10,10,41.9071837,-87.7917142,LE MOYNE PKWY,600 LE MOYNE PKWY,17.2,f87b29f7-fe33-4a10-8a33-acdf12531d71
5655,LONDON PLANETREE,Platanus x acerifolia,Platanus,latin,9,30,20,41.907178,-87.7922105,LE MOYNE PKWY,600 LE MOYNE PKWY,17.1,8a8316b0-e5b4-4176-bc3d-af79c8360b46
5656,MAPLE-NORWAY,Acer platanoides,Acer,latin,5,20,10,41.9071737,-87.7923308,LE MOYNE PKWY,600 LE MOYNE PKWY,18.3,4dd83f28-ec55-476e-b65e-274ab7f9b08c
5657,MAPLE-AUTUMN BLAZE,Acer x freemanii 'Jeffersred',Acer,latin,17,50,40,41.9071695,-87.7928137,LE MOYNE PKWY,700 LE MOYNE PKWY,18.4,17f75e06-2faa-473f-8697-ceb688a7fb1a
5658,MAPLE-AUTUMN BLAZE,Acer x freemanii 'Jeffersred',Acer,latin,16,40,30,41.9071659,-87.792969,LE MOYNE PKWY,700 LE MOYNE PKWY,18.7,2be24bd0-ede3-412b-8ab4-fa9f9f33c8d5
5659,MAPLE-AUTUMN BLAZE,Acer x freemanii 'Jeffersred',Acer,latin,15,40,30,41.9071641,-87.7931199,LE MOYNE PKWY,700 LE MOYNE PKWY,18.5,6f23b38d-6682-410e-a272-8c1820d14282
5660,SUGARBERRY,Celtis laevigata,Celtis,latin,10,20,20,41.9071587,-87.7933452,LE MOYNE PKWY,700 LE MOYNE PKWY,19.1,9b788e9e-d65d-482b-8a23-933dc310bc43
