objectid,address,building_historical_name,building_current_name,architect,builder,developer,significant_owner,style_primary,style_secondary,form,construction_decade,construction_year,construction_year_certainty,construction_year_source,resource_rating,is_individually_eligible,local_landmark,local_listed_district,local_listing,nr_landmark,nr_listed_individually,nr_listed_district,nr_listing,eligibility_remarks,previous_survey_name,historical_summary,notes,references,image_url,form_url,latitude,longitude,historic_district
1,532 FAIR OAKS AVE,,,,,,"William and Ella Van Bergen, George Hemingway, Telfer MacArthur",Colonial Revival,,Side Gable,1850-1859,1853,documented,Oak Park-River Forest Historical Society,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,"532 Fair Oaks Ave was built in 1853 or 1854 by James Scoville at the current location of the Cheney Mansion (220 N Euclid Ave). It was moved to its current location in 1894 and was subsequently sold to the Van Bergen family. The third floor contains what is thought to be a studio of John S. Van Bergen, son of the owners and association of Frank Lloyd Wright. The house has also been owned by George Hemingway, prominent local realtor, and Telfer MacArthur, founder of local newspapers. The house has been dramatically altered multiple times since its construction. This includes the removal of the original front porch and dormers, as well as removal of a rear side porch and construction of a new, curved rear enclosed porch. The front porch was removed and a Colonial entrance added in 1921. In 1941, owners John and Phyllis Rockwell commissioned architects Perkins & Will to design a remodel. Elements of the remodel appear to have been completed throughout the following two decades, including major alterations in 1946 (addition of two free-standing fireplaces, restyling of the windows and entry, and removal of three attic dormers), 1954 (specific alterations unknown), and 1958 (specific alterations unknown).",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16222__ILLINOIS_COOK__(532-Fair-Oaks-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16222__ILLINOIS_COOK__(532-Fair-Oaks-Ave).pdf,41.8958808,-87.7878143,Frank Lloyd Wright
2,619 FOREST AVE,,,,,,Maurice & Catherine Gauglier,Vernacular,,bungalow,1850-1859,1859,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,moved to site c. 1880 (source: OL 02-26-14); 1952 OL,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20962__ILLINOIS_COOK__(619-Forest-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20962__ILLINOIS_COOK__(619-Forest-Ave).pdf,41.8967844,-87.8009429,Frank Lloyd Wright
3,241 HOME AVE,,,,,,Garland,Greek Revival,,,1850-1859,1854,approximate,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,"Originally constructed on Lake St near Forest Ave, tis house was moved to its present location after 1855 and is believed to be the oldest surviving dwelling in the district. The original section of the house was Federal style. Early modifications include the addition at the rear as well as the veranda. Stucco was applied to the frame in 1910. The property was owned for 60 years by Abraham Edmunds, a millworker and cabinetmaker. He trimmed the sitting rooms in birch, hickory, and sycamore and is responsible for the oak front stairway. Edmunds' work can also be seen in Pleasant Home in Oak Park as well as the Walnut Room at Marshall Fields (now Macy's), the Continental Bank, and the Field Museum, all in downtown Chicago (Ridgeland Revealed, p24).",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16179__ILLINOIS_COOK__(241-Home-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16179__ILLINOIS_COOK__(241-Home-Ave).pdf,41.8842209,-87.8003913,Ridgeland - Oak Park
4,1122 ONTARIO ST,,,,,,Henry & Marie Schoff,,,,1850-1859,1858,approximate,Village of Oak Park building permit archives.,Non-Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/23547__ILLINOIS_COOK__(1122-Ontario-St)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/23547__ILLINOIS_COOK__(1122-Ontario-St).pdf,41.8907918,-87.8037853,Frank Lloyd Wright
5,931 CHICAGO AVE,John Blair House,Anna Wright House,,,,"John Blair, Anna Wright",Folk/Traditional,,Gable and Wing,1860-1869,1866,approximate,Frank Lloyd Wright Trust,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,"The house was purchased by Frank Lloyd Wright to house his mother Anna Wright, who lived in the house for many years.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8280__ILLINOIS_COOK__(931-Chicago-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8280__ILLINOIS_COOK__(931-Chicago-Ave).pdf,41.894081,-87.7992499,Frank Lloyd Wright
6,1016 ERIE ST,,,,,,A. W. Pebbles,Italianate,,Italianate,1860-1869,1867,documented,Property owner research,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/10543__ILLINOIS_COOK__(1016-Erie-St)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/10543__ILLINOIS_COOK__(1016-Erie-St).pdf,41.8921491,-87.8011196,Frank Lloyd Wright
7,626 FOREST AVE,,,,,,,National,,gable front,1860-1869,1860,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20963__ILLINOIS_COOK__(626-Forest-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20963__ILLINOIS_COOK__(626-Forest-Ave).pdf,41.8970454,-87.8004051,Frank Lloyd Wright
8,332 N GROVE AVE,Kettlestrings House,,,,,,Folk/Traditional,Italianate,Gable and Wing,1860-1869,1865,approximate,"September 24, 2014 article in Wednesday Journal",Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15924__ILLINOIS_COOK__(332-N-Grove-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15924__ILLINOIS_COOK__(332-N-Grove-Ave).pdf,41.892594,-87.795756,Frank Lloyd Wright
9,1022 ONTARIO ST,,,,,,,,,,1860-1869,1862,approximate,Homeowner records,Contributing,No,No,Yes,Frank Lloyd Wright-Praire School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Praire School of Architecture Historic District,,,Formerly the following addresses: 325 Elizabeth (pre-1895) and 325 Ontario (1895 and 1908). It was listed as 1022 Onatrio by 1947. (Dates per Sanborn Fire Insurance Maps),,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/23545__ILLINOIS_COOK__(1022-Ontario-St)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/23545__ILLINOIS_COOK__(1022-Ontario-St).pdf,41.89096,-87.801229,Frank Lloyd Wright
10,317 N RIDGELAND AVE,,,,,,,Dutch Colonial Revival,,Dutch Colonial Revival,1860-1869,1862,documented,Property owners,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,Oak Park Survey 1970,317 N Ridgeland Ave (originally N 64th Ave) is a contributing building within the Frank Lloyd Wright-Prairie School of Architecture Historic District. The Dutch Colonial Revival house was built in 1862.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14682__ILLINOIS_COOK__(317-N-Ridgeland-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14682__ILLINOIS_COOK__(317-N-Ridgeland-Ave).pdf,41.892386,-87.7851912,Frank Lloyd Wright
11,211 CLINTON AVE,,,,,,,Italianate,,Italianate,1870-1879,1873,approximate,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,Architecture,Second District Survey 1978,"Depicted on an 1873 map of Oak Park, this Italianate residence originally was a modest-sized house with a rooftop cupola. The enclosed porch and rear section of the house are additions. The Lemont limestone foundation was carefully matched in the remodelling process. The low hipped roof, bracketed eaves, and tall, narrow windows are typical Italianate features. When built, the house probably had a front and back parlor, dining room, and lean-to kitchen on the first floor, with four bedrooms on the second floor. Most of the interior woodwork is pine with the exception of a mahogany bannister on the front stairs (Ridgeland Revealed p31).",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/11796__ILLINOIS_COOK__(211-Clinton-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/11796__ILLINOIS_COOK__(211-Clinton-Ave).pdf,41.884989,-87.798877,Ridgeland - Oak Park
12,227 CLINTON AVE,,,,,,,Italianate,,Two-Flat,1870-1879,1873,approximate,Real estate listing 2014-09-03,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,House is shown on the 1895 Sanborn Fire Insurance map.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/11804__ILLINOIS_COOK__(227-Clinton-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/11804__ILLINOIS_COOK__(227-Clinton-Ave).pdf,41.8843879,-87.798923,Ridgeland - Oak Park
13,143 N CUYLER AVE,,,,,,,Folk/Traditional,Italianate,gable front,1870-1879,1870,approximate,,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park Historic District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/12967__ILLINOIS_COOK__(143-N-Cuyler-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/12967__ILLINOIS_COOK__(143-N-Cuyler-Ave).pdf,41.88897,-87.7834698,Ridgeland - Oak Park
14,144 N CUYLER AVE,John Carne House,,,,,John Carne,Italianate,,Cross Gable,1870-1879,1870,approximate,,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park Historic District 1983,"Architecture, development history",Second District Survey 1978,One of the earliest surviving homes in the historic district.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/12968__ILLINOIS_COOK__(144-N-Cuyler-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/12968__ILLINOIS_COOK__(144-N-Cuyler-Ave).pdf,41.8890819,-87.7825063,Ridgeland - Oak Park
15,418 N CUYLER AVE,,,,,,,Gothic Revival,,gable front,1870-1879,1875,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,"Architecture, rare architectural style, high integrity",Second District Survey 1978,The house was built ca. 1875. The porch was added in 1915 by then owner Mary E. Whitesell. A one-car garage was built in 1929.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/13112__ILLINOIS_COOK__(418-N-Cuyler-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/13112__ILLINOIS_COOK__(418-N-Cuyler-Ave).pdf,41.893831,-87.7828046,Ridgeland - Oak Park
16,434 N EAST AVE,Carter House,,,,,Carter,Italianate,,Italianate,1870-1879,1875,approximate,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,Oak Park Survey 1970,"434 N East Ave is a contributing building within the Frank Lloyd Wright-Prairie School of Architecture Historic District. It was built in 1875 for original owner listed as ""Carter.""",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8470__ILLINOIS_COOK__(434-N-East-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8470__ILLINOIS_COOK__(434-N-East-Ave).pdf,41.894272,-87.789285,Frank Lloyd Wright
17,2 ELIZABETH CT,Simon and Elizabeth Humphrey House No. 1,,,,,Reverend S. J. Humphrey,Dutch Colonial Revival,,Dutch Colonial Revival,1870-1879,1873,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,"The parcel of land now occupied by 2 and 4 Elizabeth Court was purchased by Simon and Elizabeth Humphrey in 1881. The Humphreys lived first at this address, then built and moved into 4 Elizabeth Court ca. 1887. 2 Elizabeth Court was sold to the Hollisters in 1886. The second floor was added in 1937.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8598__ILLINOIS_COOK__(2-Elizabeth-Ct)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8598__ILLINOIS_COOK__(2-Elizabeth-Ct).pdf,41.8918096,-87.799329,Frank Lloyd Wright
18,5 ELIZABETH CT,George Mayo House,,,,,George Mayo,Italianate,,Italianate,1870-1879,1875,approximate,,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,Significant architectural example.,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8604__ILLINOIS_COOK__(5-Elizabeth-Ct)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8604__ILLINOIS_COOK__(5-Elizabeth-Ct).pdf,41.8921461,-87.798773,Frank Lloyd Wright
19,8 ELIZABETH CT,Rev. Joseph Roy House,,,,,Rev. Joseph Edwin Roy,Gothic Revival,,Gothic Revival,1870-1879,1871,documented,Private research,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/8684__ILLINOIS_COOK__(8-Elizabeth-Ct)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/8684__ILLINOIS_COOK__(8-Elizabeth-Ct).pdf,41.8916769,-87.7987412,Frank Lloyd Wright
20,501 N ELMWOOD AVE,Hemingway Interim House,,,,,"Rev. George Huntington (1870s), Albert Butz (1880s), Clarence, Grace & Ernest Hemingway (1905)",Gothic Revival,,Cross Gable,1870-1879,1870,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,FLW-Prairie School Historic District 2007,Moved from 151 North Grove Avenue in 1999.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/10319__ILLINOIS_COOK__(501-N-Elmwood-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/10319__ILLINOIS_COOK__(501-N-Elmwood-Ave).pdf,41.894693,-87.7868648,Frank Lloyd Wright
21,110 S ELMWOOD AVE,,,,,,,Folk/Traditional,,gable front,1870-1879,1875,approximate,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,"Ridgeland/Oak Park Historic District, 1994",No,No,Yes,"Ridgeland/Oak Park Historic District, 1983",,"Second District Survey, 1978",,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/18784__ILLINOIS_COOK__(110-S-Elmwood-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/18784__ILLINOIS_COOK__(110-S-Elmwood-Ave).pdf,41.8865286,-87.7859347,Ridgeland - Oak Park
22,1024 ERIE ST,,,,,,,Stick,,Stick,1870-1879,1875,approximate,,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Frank Lloyd Wright-Prairie School Survey 2007,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/10546__ILLINOIS_COOK__(1024-Erie-St)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/10546__ILLINOIS_COOK__(1024-Erie-St).pdf,41.8921312,-87.8014282,Frank Lloyd Wright
23,615 FOREST AVE,,,,,,,Italianate,,foursquare,1870-1879,1872,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/20961__ILLINOIS_COOK__(615-Forest-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/20961__ILLINOIS_COOK__(615-Forest-Ave).pdf,41.8966674,-87.8009045,Frank Lloyd Wright
24,335 N GROVE AVE,,,,,,,Folk/Traditional,Italianate,I-house,1870-1879,1870,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15925__ILLINOIS_COOK__(335-N-Grove-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15925__ILLINOIS_COOK__(335-N-Grove-Ave).pdf,41.892582,-87.7964467,Frank Lloyd Wright
25,339 N GROVE AVE,,,,,,,Folk/Traditional,Italianate,gabled ell,1870-1879,1875,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture 1973,,Oak Park Survey 1970,Original house and rear additions appear on 1895 Sanborn Fire Insurance map,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15926__ILLINOIS_COOK__(339-N-Grove-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15926__ILLINOIS_COOK__(339-N-Grove-Ave).pdf,41.892733,-87.7964342,Frank Lloyd Wright
26,436 N GROVE AVE,,,,,,,Queen Anne,,Cross Gable,1870-1879,1871,approximate,,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15957__ILLINOIS_COOK__(436-N-Grove-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15957__ILLINOIS_COOK__(436-N-Grove-Ave).pdf,41.894179,-87.7957957,Frank Lloyd Wright
27,511 N GROVE AVE,,,,,,,Italianate,,,1870-1879,1875,approximate,,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,It is thought that this house may have been moved to the site in the mid-1880s.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15963__ILLINOIS_COOK__(511-N-Grove-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15963__ILLINOIS_COOK__(511-N-Grove-Ave).pdf,41.894899,-87.7965153,Frank Lloyd Wright
28,537 N GROVE AVE,,,,,,,Folk/Traditional,,gable front,1870-1879,1878,documented,Property owners,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1972,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District 1973,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/15977__ILLINOIS_COOK__(537-N-Grove-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/15977__ILLINOIS_COOK__(537-N-Grove-Ave).pdf,41.895766,-87.7965467,Frank Lloyd Wright
29,139 N HARVEY AVE,,,,,,,Classical Revival,,gable front,1870-1879,1879,approximate,,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park Historic District 1983,,Second District Survey 1978,House is thought to date to around 1879 based on dated original fireplace tiles in the living room (per contractor Paul Wicklow).,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/13275__ILLINOIS_COOK__(139-N-Harvey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/13275__ILLINOIS_COOK__(139-N-Harvey-Ave).pdf,41.888883,-87.7818312,Ridgeland - Oak Park
30,232 N HARVEY AVE,,,,,,,Italianate,,Italianate,1870-1879,1875,approximate,,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park Historic District 1983,Architecture,Second District Survey 1978,"According to the building permit archives, the house was enlarged in 1895, and $1,800 of alterations were made in 1909. It was thought to have been a 2-flat as early as 1895.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/13308__ILLINOIS_COOK__(232-N-Harvey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/13308__ILLINOIS_COOK__(232-N-Harvey-Ave).pdf,41.891595,-87.7810629,Ridgeland - Oak Park
31,226 HOME AVE,,,,,,,Vernacular,,,1870-1879,1883,documented,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16169__ILLINOIS_COOK__(226-Home-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16169__ILLINOIS_COOK__(226-Home-Ave).pdf,41.884394,-87.7996583,Ridgeland - Oak Park
32,234 HOME AVE,,,,,,,Italianate,,gable front,1870-1879,1877,documented,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgland/Oak Park Historic District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16171__ILLINOIS_COOK__(234-Home-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16171__ILLINOIS_COOK__(234-Home-Ave).pdf,41.884123,-87.7996638,Ridgeland - Oak Park
33,259 HOME AVE,,,,,,,Queen Anne,,Cross Gable,1870-1879,1874,documented,Historical Society of Oak Park & River Forest,Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/16182__ILLINOIS_COOK__(259-Home-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/16182__ILLINOIS_COOK__(259-Home-Ave).pdf,41.883668,-87.8004023,Ridgeland - Oak Park
34,328 N KENILWORTH AVE,,,,,,,Italianate,,gable front,1870-1879,1873,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14944__ILLINOIS_COOK__(328-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14944__ILLINOIS_COOK__(328-N-Kenilworth-Ave).pdf,41.892358,-87.797114,Frank Lloyd Wright
35,400 N KENILWORTH AVE,John Schmidt House,,,,,John Schmidt,Italianate,,Gable and Wing,1870-1879,1872,approximate,Research by Joseph D. Gavin for the 2017 Wright Plus house walk,Contributing,No,Yes,Yes,Frank Lloyd Wright-Prairie School of Architecture; Oak Park Landmark,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,"Oak Park Survey, 1970 / Frank Lloyd Wright Historic District Survey, 2007","Alterations and addition in 1908 by Krogmann Brothers for owner David A. Hare, designed by architect E. E. Roberts. The John Schmidt House is an Oak Park Landmark.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14952__ILLINOIS_COOK__(400-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14952__ILLINOIS_COOK__(400-N-Kenilworth-Ave).pdf,41.893029,-87.7971862,Frank Lloyd Wright
36,427 N KENILWORTH AVE,Americus B. Melville House no. 2,,,,,,Tudor Revival,,Cross Gable,1870-1879,1870,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture,,Oak Park Survey 1970,Americus B. Melville hired architect Eben E. Roberts to remodel the house in 1916.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14937__ILLINOIS_COOK__(427-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14937__ILLINOIS_COOK__(427-N-Kenilworth-Ave).pdf,41.893959,-87.7980039,Frank Lloyd Wright
37,538 N KENILWORTH AVE,,,,,,,Queen Anne,,gable front,1870-1879,1875,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,No,No,Yes,Frank Lloyd Wright-Prairie School of Architecture Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed circa 1875.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21298__ILLINOIS_COOK__(538-N-Kenilworth-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21298__ILLINOIS_COOK__(538-N-Kenilworth-Ave).pdf,41.8957464,-87.797332,Frank Lloyd Wright
38,252 LAKE ST,,,,,,,Folk/Traditional,,gable front,1870-1879,1875,approximate,,Non-Contributing,No,No,Yes,Ridgeland/Oak Park Historic District 1994,No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/13260__ILLINOIS_COOK__(252-Lake-St)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/13260__ILLINOIS_COOK__(252-Lake-St).pdf,41.8885401,-87.782277,Ridgeland - Oak Park
