objectid,address,building_historical_name,building_current_name,architect,builder,developer,significant_owner,style_primary,style_secondary,form,construction_decade,construction_year,construction_year_certainty,construction_year_source,resource_rating,is_individually_eligible,local_landmark,local_listed_district,local_listing,nr_landmark,nr_listed_individually,nr_listed_district,nr_listing,eligibility_remarks,previous_survey_name,historical_summary,notes,references,image_url,form_url,latitude,longitude,historic_district
1443,329 N HUMPHREY AVE,,,,Vierow Brothers,,Mary A. Fair,Vernacular,Queen Anne,gable front,1900-1909,1902,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,329 N Humphrey Ave was built in 1902 by the Viewrow Brothers for Mary A. Fair.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21164__ILLINOIS_COOK__(329-N-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21164__ILLINOIS_COOK__(329-N-Humphrey-Ave).pdf,41.8929536,-87.7770443,Ridgeland - Oak Park
1444,102 S HUMPHREY AVE,,,,F. A. Hill & Co,,Philip & Sarah Clark,Prairie School,,foursquare,1900-1909,1907,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed in 1907 by F. A. Hill & Co for owners Philip & Sarah Clark. F.A. Hill & Co. was a prominent development company in Oak Park and Austin in the early 20th century and who developed many properties on Humphrey and Cuyler Avenues.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21246__ILLINOIS_COOK__(102-S-Humphrey-Ave)_0001.jpg,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21246__ILLINOIS_COOK__(102-S-Humphrey-Ave).pdf,41.8869281,-87.7761603,Ridgeland - Oak Park
1445,106 S HUMPHREY AVE,,,,F. A. Hill,,Homer & Ida Holsinger,,,,1900-1909,1907,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21175__ILLINOIS_COOK__(106-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21175__ILLINOIS_COOK__(106-S-Humphrey-Ave).pdf,41.8868125,-87.7761988,Ridgeland - Oak Park
1446,110 S HUMPHREY AVE,,,,F. A. Hill & Co,,Armand and Marie Buisseret,Queen Anne,Prairie School,,1900-1909,1907,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed in 1907 by F. A. Hill & Co for owners Armand and Marie Buisseret. F. A. Hill & Co. was a prominent development company in Oak Park and Austin in the early 20th century and who developed many properties on Humphrey and Cuyler Avenues.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21248__ILLINOIS_COOK__(110-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21248__ILLINOIS_COOK__(110-S-Humphrey-Ave).pdf,41.8866575,-87.7761988,Ridgeland - Oak Park
1447,120 S HUMPHREY AVE,,,,F. W. Gilbert,,F. A. Hill,,,foursquare,1900-1909,1905,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21179__ILLINOIS_COOK__(120-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21179__ILLINOIS_COOK__(120-S-Humphrey-Ave).pdf,41.8862105,-87.7761411,Ridgeland - Oak Park
1448,121 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,Prairie School,,foursquare,1900-1909,1903,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,"The building is a Contributing Resource in the historic district. The house was constructed in 1903 by F. A. Hill & Co, a prominent development company in Oak Park and Austin in the early 20th century and who developed many properties on Humphrey and Cuyler Avenues.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21252__ILLINOIS_COOK__(121-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21252__ILLINOIS_COOK__(121-S-Humphrey-Ave).pdf,41.8862041,-87.7768137,Ridgeland - Oak Park
1449,132 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,,,,1900-1909,1903,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21184__ILLINOIS_COOK__(132-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21184__ILLINOIS_COOK__(132-S-Humphrey-Ave).pdf,41.8858024,-87.7760835,Ridgeland - Oak Park
1450,133 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,Prairie School,,foursquare,1900-1909,1903,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,"The building is a Contributing Resource in the historic district. The house was constructed in 1903 by F. A. Hill & Co, a prominent development company in Oak Park and Austin in the early 20th century and who developed many properties on Humphrey and Cuyler Avenues.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21254__ILLINOIS_COOK__(133-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21254__ILLINOIS_COOK__(133-S-Humphrey-Ave).pdf,41.8857769,-87.7767753,Ridgeland - Oak Park
1451,136 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,,,foursquare,1900-1909,1905,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21185__ILLINOIS_COOK__(136-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21185__ILLINOIS_COOK__(136-S-Humphrey-Ave).pdf,41.885648,-87.7761219,Ridgeland - Oak Park
1452,137 S HUMPHREY AVE,,,,,,,Shingle Style,,gable front,1900-1909,1903,approximate,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,The building is a Contributing Resource in the historic district. The house was constructed circa 1903.,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21255__ILLINOIS_COOK__(137-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21255__ILLINOIS_COOK__(137-S-Humphrey-Ave).pdf,41.8856606,-87.7767753,Ridgeland - Oak Park
1453,141 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,Queen Anne,,foursquare,1900-1909,1906,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,"The building is a Contributing Resource in the historic district. The house was constructed in 1906 by F. A. Hill & Co, a prominent development company in Oak Park and Austin in the early 20th century and who developed many properties on Humphrey and Cuyler Avenues.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21256__ILLINOIS_COOK__(141-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21256__ILLINOIS_COOK__(141-S-Humphrey-Ave).pdf,41.8855071,-87.7768521,Ridgeland - Oak Park
1454,205 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,Prairie School,,foursquare,1900-1909,1904,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,"The building is a Contributing Resource in the historic district. The house was constructed in 1904 by F. A. Hill & Co, a prominent development company in Oak Park and Austin in the early 20th century and who developed many properties on Humphrey and Cuyler Avenues.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21257__ILLINOIS_COOK__(205-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21257__ILLINOIS_COOK__(205-S-Humphrey-Ave).pdf,41.8850404,-87.7767753,Ridgeland - Oak Park
1455,208 S HUMPHREY AVE,,,,F. W. Gilbert,,F. A. Hill,,,,1900-1909,1905,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21201__ILLINOIS_COOK__(208-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21201__ILLINOIS_COOK__(208-S-Humphrey-Ave).pdf,41.8849502,-87.7761219,Ridgeland - Oak Park
1456,213 S HUMPHREY AVE,,,,F. A. Hill & Co,,F. A. Hill & Co,Prairie School,,foursquare,1900-1909,1904,documented,Village of Oak Park building permit archives.,Contributing,No,No,Yes,Ridgeland-Oak Park Historic District,No,No,Yes,Ridgeland-Oak Park Historic District,,,"The building is a Contributing Resource in the historic district. The house was constructed in 1904 by F. A. Hill & Co, a prominent development company in Oak Park and Austin in the early 20th century and who developed many properties on Humphrey and Cuyler Avenues.",,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/21260__ILLINOIS_COOK__(213-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/21260__ILLINOIS_COOK__(213-S-Humphrey-Ave).pdf,41.8847682,-87.7767368,Ridgeland - Oak Park
1457,217 S HUMPHREY AVE,George and Mary Sheppard House,,,F. A. Hill and Company,,George and Mary Sheppard,Prairie School,Colonial Revival,foursquare,1900-1909,1904,documented,Village of Oak Park building permit archives.,Contributing,No,Yes,Yes,"Oak Park Historic Landmark, 2011",No,No,Yes,Ridgeland/Oak Park National Register District 1983,,Second District Survey 1978,See attached Historic Landmark nomination report,,,https://apps.oak-park.us/GIS/Historic_Resources_of_Oak_Park/14292__ILLINOIS_COOK__(217-S-Humphrey-Ave)_0001.JPG,https://apps.oak-park.us/GIS/Forms_Historic_Resources_of_Oak_Park/14292__ILLINOIS_COOK__(217-S-Humphrey-Ave).pdf,41.884624,-87.7767328,Ridgeland - Oak Park
