tax_year,agency_id,agency_code,agency_name,agency_label,agency_type,eav,total_levy,final_rate,extension,oak_park_eav_share,oak_park_extension,report_format,source_pdf,note
2017,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1655776153,9668579,0.564,9338577.50,1.0,9338577.50,legacy,050760000_2017.pdf,
2018,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1592506276,2991567,0.185,2946136.61,1.0,2946136.61,legacy,020180000_2018.pdf,
2018,020180002,02-0180-002,GENERAL ASSISTANCE OAK PARK,Oak Park Township General Assistance,Township,1592506276,506668,0.032,509602.01,1.0,509602.01,legacy,020180002_2018.pdf,
2018,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1592506276,1536891,0.095,1512880.96,1.0,1512880.96,legacy,020180004_2018.pdf,
2018,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1592506276,34030865,2.137,34031859.12,1.0,34031859.12,legacy,030920000_2018.pdf,
2018,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1592506276,9686101,0.609,9698363.22,1.0,9698363.22,legacy,030920001_2018.pdf,
2018,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1592506276,79820862,4.861,77411730.08,1.0,77411730.08,legacy,040580000_2018.pdf,
2018,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,2157498955,68036000,2.879,62114394.91,0.738126,45848255.68,legacy,042020000_2018.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2018,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1592506276,9954680,0.604,9618737.91,1.0,9618737.91,legacy,050760000_2018.pdf,
2019,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1692471417,3518499,0.208,3520340.55,1.0,3520340.55,legacy,020180000_2019.pdf,
2019,020180002,02-0180-002,GENERAL ASSISTANCE OAK PARK,Oak Park Township General Assistance,Township,1692471417,139141,0.009,152322.43,1.0,152322.43,legacy,020180002_2019.pdf,
2019,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1692471417,1564530,0.093,1573998.42,1.0,1573998.42,legacy,020180004_2019.pdf,
2019,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1692471417,35051897,2.071,35051083.05,1.0,35051083.05,legacy,030920000_2019.pdf,
2019,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1692471417,10652307,0.63,10662569.93,1.0,10662569.93,legacy,030920001_2019.pdf,
2019,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1692471417,86536195,5.016,84894366.28,1.0,84894366.28,legacy,040580000_2019.pdf,
2019,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,2249568733,73602368,3.25,73110983.82,0.752354,55005321.05,legacy,042020000_2019.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
