tax_year,agency_id,agency_code,agency_name,agency_label,agency_type,eav,total_levy,final_rate,extension,oak_park_eav_share,oak_park_extension,report_format,source_pdf,note
2010,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,2554919343,67215609,2.529,64613910.18,0.724348,46802933.64,legacy,042020000_2010.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2010,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1850649808,8266372,0.436,8068833.16,1.0,8068833.16,legacy,050760000_2010.pdf,
2011,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1596903799,2313708,0.142,2267603.39,1.0,2267603.39,legacy,020180000_2011.pdf,
2011,020180002,02-0180-002,GENERAL ASSISTANCE,Oak Park Township General Assistance,Township,1596903799,457481,0.029,463102.10,1.0,463102.10,legacy,020180002_2011.pdf,
2011,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1596903799,1506254,0.093,1485120.53,1.0,1485120.53,legacy,020180004_2011.pdf,
2011,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1596903799,22694817,1.422,22707972.02,1.0,22707972.02,legacy,030920000_2011.pdf,
2011,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1596903799,8888864,0.557,8894754.16,1.0,8894754.16,legacy,030920001_2011.pdf,
2011,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1596903799,58852975,3.596,57424660.61,1.0,57424660.61,legacy,040580000_2011.pdf,
2011,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,2170008263,68484389,3.048,66141851.86,0.735898,48673627.80,legacy,042020000_2011.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2011,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1596903799,8527167,0.518,8271961.68,1.0,8271961.68,legacy,050760000_2011.pdf,
2012,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1470162652,2487612,0.164,2411066.75,1.0,2411066.75,legacy,020180000_2012.pdf,
2012,020180002,02-0180-002,GENERAL ASSISTANCE,Oak Park Township General Assistance,Township,1470162652,476995,0.032,470452.05,1.0,470452.05,legacy,020180002_2012.pdf,
2012,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1470162652,1529674,0.101,1484864.28,1.0,1484864.28,legacy,020180004_2012.pdf,
2012,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1470162652,22974294,1.563,22978642.25,1.0,22978642.25,legacy,030920000_2012.pdf,
2012,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1470162652,9413130,0.641,9423742.60,1.0,9423742.60,legacy,030920001_2012.pdf,
2012,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1470162652,60512611,4.016,59041732.10,1.0,59041732.10,legacy,040580000_2012.pdf,
2012,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,1999613608,67194218,3.252,65027434.53,0.735223,47809689.44,legacy,042020000_2012.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
2012,050760000,05-0760-000,OAK PARK PARK DISTRICT,Park District of Oak Park,Parks,1470162652,8861727,0.579,8512241.76,1.0,8512241.76,legacy,050760000_2012.pdf,
2013,020180000,02-0180-000,TOWN OAK PARK,Oak Park Township,Township,1369216060,2573347,0.183,2505665.39,1.0,2505665.39,legacy,020180000_2013.pdf,
2013,020180002,02-0180-002,GENERAL ASSISTANCE,Oak Park Township General Assistance,Township,1369216060,484566,0.035,479225.62,1.0,479225.62,legacy,020180002_2013.pdf,
2013,020180004,02-0180-004,OAK PARK MENTAL HEALTH DISTRICT,Oak Park Township Mental Health Board,Township,1369216060,1529410,0.109,1492445.51,1.0,1492445.51,legacy,020180004_2013.pdf,
2013,030920000,03-0920-000,VILLAGE OF,Village of Oak Park,Municipality,1369216060,24624892,1.799,24632196.92,1.0,24632196.92,legacy,030920000_2013.pdf,
2013,030920001,03-0920-001,VILLAGE OF OAK PARK LIBRARY FUND,Oak Park Public Library,Library,1369216060,9788734,0.715,9789894.83,1.0,9789894.83,legacy,030920001_2013.pdf,
2013,040580000,04-0580-000,SCHOOL DISTRICT 97,Oak Park Elementary School District 97,Grade School,1369216060,61501320,4.382,59999047.75,1.0,59999047.75,legacy,040580000_2013.pdf,
2013,042020000,04-2020-000,CONSOLIDATED HIGH SCHOOL 200,Oak Park and River Forest High School District 200,High School,1862402353,55019413,2.951,54959493.44,0.735188,40405565.93,legacy,042020000_2013.pdf,"District 200 also serves River Forest; eav/extension are the full district, oak_park_extension is prorated by Oak Park's share of District 200 EAV"
