pin,year,class,township_code,township_name,nbhd,mailed_bldg,mailed_land,mailed_tot,certified_bldg,certified_land,certified_tot,board_bldg,board_land,board_tot,building_sqft,land_sqft,year_built,units,beds,full_baths,half_baths,cards,residential_type,sqft_source,condo_building_sqft,condo_pct_ownership,condo_est_unit_sqft,is_parking_or_common,prop_address,prop_city,prop_zip,address_year
16063070341019,2026,299,27,Oak Park,27020,14766,1959,16725,14766,1959,16725,,,,,24456,1969,1,2,1,0,1,Condominium,condo_unit,22350,0.04711,1053,0,1047 N HARLEM AVE 1NA,OAK PARK,60302,2026
16063070341020,2026,299,27,Oak Park,27020,14766,1959,16725,14766,1959,16725,,,,,24456,1969,1,,,,1,Condominium,condo_unit,22350,0.04711,1053,0,1047 N HARLEM AVE 2NA,OAK PARK,60302,2026
16063070341021,2026,299,27,Oak Park,27020,14766,1959,16725,14766,1959,16725,,,,,24456,1969,1,,,,1,Condominium,condo_unit,22350,0.04711,1053,0,1047 N HARLEM AVE 3NA,OAK PARK,60302,2026
16063070341022,2026,299,27,Oak Park,27020,1019,135,1154,1019,135,1154,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00325,,1,1037 N HARLEM AVE G1,OAK PARK,60302,2026
16063070341023,2026,299,27,Oak Park,27020,1019,135,1154,1019,135,1154,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00325,,1,1047 N HARLEM AVE G2,OAK PARK,60302,2026
16063070341024,2026,299,27,Oak Park,27020,1019,135,1154,1019,135,1154,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00325,,1,1037 N HARLEM AVE G3,OAK PARK,60302,2026
16063070341025,2026,299,27,Oak Park,27020,1019,135,1154,1019,135,1154,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00325,,1,1037 N HARLEM AVE G4,OAK PARK,60302,2026
16063070341026,2026,299,27,Oak Park,27020,1019,135,1154,1019,135,1154,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00325,,1,1037 N HARLEM AVE G5,OAK PARK,60302,2026
16063070341027,2026,299,27,Oak Park,27020,1022,136,1158,1022,136,1158,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00326,,1,1037 N HARLEM AVE G6,OAK PARK,60302,2026
16063070341028,2026,299,27,Oak Park,27020,1022,136,1158,1022,136,1158,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00326,,1,1037 N HARLEM AVE G7,OAK PARK,60302,2026
16063070341029,2026,299,27,Oak Park,27020,1022,136,1158,1022,136,1158,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00326,,1,1037 N HARLEM AVE G8,OAK PARK,60302,2026
16063070341030,2026,299,27,Oak Park,27020,1022,136,1158,1022,136,1158,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00326,,1,1037 N HARLEM AVE G9,OAK PARK,60302,2026
16063070341031,2026,299,27,Oak Park,27020,1022,136,1158,1022,136,1158,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00326,,1,1037 N HARLEM AVE G10,OAK PARK,60302,2026
16063070341032,2026,299,27,Oak Park,27020,1022,136,1158,1022,136,1158,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00326,,1,1037 N HARLEM AVE G11,OAK PARK,60302,2026
16063070341033,2026,299,27,Oak Park,27020,1022,136,1158,1022,136,1158,,,,,24456,1969,1,,,,1,Condominium,condo_unit,,0.00326,,1,1037 N HARLEM AVE G12,OAK PARK,60302,2026
16063070350000,2026,210,27,Oak Park,27020,16510,4490,21000,16510,4490,21000,,,,1044,2641,1954,1,2,1,1,1,2 Story,improvement,,,,,1011 N HARLEM AVE A,OAK PARK,60302,2026
16063070360000,2026,210,27,Oak Park,27020,17732,2268,20000,17732,2268,20000,,,,1044,1334,1954,1,2,1,1,1,2 Story,improvement,,,,,1011 N HARLEM AVE B,OAK PARK,60302,2026
16063070370000,2026,210,27,Oak Park,27020,17734,2266,20000,17734,2266,20000,,,,1044,1333,1954,1,2,1,1,1,2 Story,improvement,,,,,1011 N HARLEM AVE C,OAK PARK,60302,2026
16063070380000,2026,210,27,Oak Park,27020,17731,2270,20001,17731,2270,20001,,,,1044,1335,1954,1,2,1,1,1,2 Story,improvement,,,,,1013 N HARLEM AVE A,OAK PARK,60302,2026
16063070390000,2026,210,27,Oak Park,27020,17734,2266,20000,17734,2266,20000,,,,1044,1333,1954,1,2,1,1,1,2 Story,improvement,,,,,1013 N HARLEM AVE B,OAK PARK,60302,2026
16063070400000,2026,210,27,Oak Park,27020,17384,2616,20000,17384,2616,20000,,,,1044,1539,1954,1,2,1,1,1,2 Story,improvement,,,,,1013 N HARLEM AVE C,OAK PARK,60302,2026
16063070410000,2026,210,27,Oak Park,27020,16696,4304,21000,16696,4304,21000,,,,1044,2532,1954,1,2,1,1,1,2 Story,improvement,,,,,1007 N HARLEM AVE A,OAK PARK,60302,2026
16063070420000,2026,210,27,Oak Park,27020,17622,2378,20000,17622,2378,20000,,,,1044,1399,1954,1,2,1,1,1,2 Story,improvement,,,,,1007 N HARLEM AVE B,OAK PARK,60302,2026
16063070430000,2026,210,27,Oak Park,27020,17622,2378,20000,17622,2378,20000,,,,1044,1399,1954,1,2,1,1,1,2 Story,improvement,,,,,1007 N HARLEM AVE C,OAK PARK,60302,2026
16063070440000,2026,210,27,Oak Park,27020,17622,2378,20000,17622,2378,20000,,,,1044,1399,1954,1,2,1,1,1,2 Story,improvement,,,,,1009 N HARLEM AVE A,OAK PARK,60302,2026
16063070450000,2026,210,27,Oak Park,27020,17623,2377,20000,17623,2377,20000,,,,1044,1398,1954,1,2,1,1,1,2 Story,improvement,,,,,1009 N HARLEM AVE B,OAK PARK,60302,2026
16063070460000,2026,210,27,Oak Park,27020,17600,2400,20000,17600,2400,20000,,,,1044,1412,1954,1,2,1,1,1,2 Story,improvement,,,,,1009 N HARLEM AVE C,OAK PARK,60302,2026
16063070471001,2026,299,27,Oak Park,27020,13787,1980,15767,13787,1980,15767,,,,600,13931,1955,1,1,1,0,1,Condominium,condo_unit,6936,0.0835934,580,0,1001 N HARLEM AVE A,OAK PARK,60302,2026
16063070471002,2026,299,27,Oak Park,27020,13743,1974,15717,13743,1974,15717,,,,,13931,1955,1,1,1,0,1,Condominium,condo_unit,6936,0.0833298,578,0,1001 N HARLEM AVE B,OAK PARK,60302,2026
16063070471003,2026,299,27,Oak Park,27020,13768,1977,15745,13768,1977,15745,,,,,13931,1955,1,1,1,0,1,Condominium,condo_unit,6936,0.0834795,579,0,1001 N HARLEM AVE C,OAK PARK,60302,2026
16063070471004,2026,299,27,Oak Park,27020,13748,1974,15722,13748,1974,15722,,,,,13931,1955,1,1,1,0,1,Condominium,condo_unit,6936,0.0833602,578,0,1001 N HARLEM AVE D,OAK PARK,60302,2026
16063070471005,2026,299,27,Oak Park,27020,13737,1973,15710,13737,1973,15710,,,,,13931,1955,1,,,,1,Condominium,condo_unit,6936,0.0832923,578,0,1001 N HARLEM AVE E,OAK PARK,60302,2026
16063070471006,2026,299,27,Oak Park,27020,13700,1967,15667,13700,1967,15667,,,,,13931,1955,1,,,,1,Condominium,condo_unit,6936,0.083065,576,0,1001 N HARLEM AVE F,OAK PARK,60302,2026
16063070471007,2026,299,27,Oak Park,27020,13720,1970,15690,13720,1970,15690,,,,,13931,1955,1,,,,1,Condominium,condo_unit,6936,0.0831884,577,0,1005 N HARLEM AVE A,OAK PARK,60302,2026
16063070471008,2026,299,27,Oak Park,27020,13748,1974,15722,13748,1974,15722,,,,,13931,1955,1,1,1,0,1,Condominium,condo_unit,6936,0.0833561,578,0,1005 N HARLEM AVE B,OAK PARK,60302,2026
16063070471009,2026,299,27,Oak Park,27020,13732,1972,15704,13732,1972,15704,,,,,13931,1955,1,1,1,0,1,Condominium,condo_unit,6936,0.0832632,578,0,1005 N HARLEM AVE C,OAK PARK,60302,2026
16063070471010,2026,299,27,Oak Park,27020,13821,1985,15806,13821,1985,15806,,,,,13931,1955,1,1,1,0,1,Condominium,condo_unit,6936,0.083801,581,0,1005 N HARLEM AVE D,OAK PARK,60302,2026
16063070471011,2026,299,27,Oak Park,27020,13705,1968,15673,13705,1968,15673,,,,,13931,1955,1,,,,1,Condominium,condo_unit,6936,0.0830969,576,0,1005 N HARLEM AVE E,OAK PARK,60302,2026
16063070471012,2026,299,27,Oak Park,27020,13719,1970,15689,13719,1970,15689,,,,,13931,1955,1,,,,1,Condominium,condo_unit,6936,0.083184,577,0,1005 N HARLEM AVE F,OAK PARK,60302,2026
16063070490000,2026,295,27,Oak Park,27020,43257,4743,48000,43257,4743,48000,,,,1907,2790,1990,1,3,2,1,1,2 Story,improvement,,,,,741 N MARION ST,OAK PARK,60302,2026
16063070500000,2026,295,27,Oak Park,27020,40266,4735,45001,40266,4735,45001,,,,1904,2785,1988,1,3,2,0,1,2 Story,improvement,,,,,743 N MARION ST,OAK PARK,60302,2026
16063070510000,2026,205,27,Oak Park,27020,46665,8335,55000,46665,8335,55000,,,,1369,4903,1916,1,3,1,1,1,2 Story,improvement,,,,,745 N MARION ST,OAK PARK,60302,2026
16063070520000,2026,278,27,Oak Park,27020,80323,15677,96000,80323,15677,96000,,,,2968,9222,1992,1,4,2,2,1,2 Story,improvement,,,,,731 N MARION ST,OAK PARK,60302,2026
16063070530000,2026,206,27,Oak Park,27020,84210,14790,99000,84210,14790,99000,,,,2929,8700,1914,1,6,2,1,1,2 Story,improvement,,,,,735 N MARION ST,OAK PARK,60302,2026
16063070540000,2026,211,27,Oak Park,27020,63628,10372,74000,56452,10372,66824,,,,3134,6101,1969,6,6,6,0,1,2 Story,improvement,,,,,1025 N HARLEM AVE,OAK PARK,60302,2026
16063080020000,2026,206,27,Oak Park,27020,98323,15677,114000,98323,15677,114000,,,,3541,9222,1893,1,6,4,0,1,2 Story,improvement,,,,,738 N MARION ST,OAK PARK,60302,2026
16063080030000,2026,211,27,Oak Park,27020,43323,15677,59000,43323,15677,59000,,,,1990,9222,1894,2,4,2,0,1,2 Story,improvement,,,,,734 N MARION ST,OAK PARK,60302,2026
