geography,geoid,vintage,period,table,variable,label,estimate,margin_of_error,source
"Cook County, Illinois",05000US17031,2009,2005-2009,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1329785,1996,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,295102,1363,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B03002,B03002_012,Total > Hispanic or Latino,1181767,0,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_001,Total,3455137,0,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_015,Total > Male > Bachelor's degree,326029,3593,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_016,Total > Male > Master's degree,137982,2427,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_017,Total > Male > Professional school degree,55346,1628,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_018,Total > Male > Doctorate degree,23735,1052,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_032,Total > Female > Bachelor's degree,358363,4027,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_033,Total > Female > Master's degree,171617,3099,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_034,Total > Female > Professional school degree,39560,1282,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,B15002_035,Total > Female > Doctorate degree,18252,996,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B19013,B19013_001,Median household income in the past 12 months (in 2009 inflation-adjusted dollars),53903,302,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25003,B25003_001,Total,1941417,5109,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25003,B25003_002,Total > Owner occupied,1179389,7255,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25003,B25003_003,Total > Renter occupied,762028,5506,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_001,Total,2170750,1639,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_002,Total > Built 2005 or later,36921,1248,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_003,Total > Built 2000 to 2004,90644,2452,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_004,Total > Built 1990 to 1999,123645,1994,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_005,Total > Built 1980 to 1989,149629,2343,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_006,Total > Built 1970 to 1979,268512,3195,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_007,Total > Built 1960 to 1969,286537,3269,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_008,Total > Built 1950 to 1959,344503,3117,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_009,Total > Built 1940 to 1949,191603,2910,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,B25034_010,Total > Built 1939 or earlier,678756,4425,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25035,B25035_001,Median year structure built,1956,1,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25064,B25064_001,Median gross rent,882,3,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25077,B25077_001,Median value (dollars),267200,1049,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B15002,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15002_015, B15002_016, B15002_017, B15002_018, B15002_032, B15002_033, B15002_034, B15002_035)",1130884,7142.3,www2.census.gov summary file
"Cook County, Illinois",05000US17031,2009,2005-2009,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),678756,4425,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B01002,B01002_001,Median age > Total,35.9,0.1,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B01003,B01003_001,Total,12785043,0,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B03002,B03002_001,Total,12785043,0,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,8330734,2615,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1855912,3687,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,533943,1887,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B03002,B03002_012,Total > Hispanic or Latino,1872619,384,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B15002,B15002_001,Total,8309322,1591,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B15002,B15002_015,Total > Male > Bachelor's degree,749785,5225,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B15002,B15002_016,Total > Male > Master's degree,309112,3398,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B15002,B15002_017,Total > Male > Professional school degree,106202,2236,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B15002,B15002_018,Total > Male > Doctorate degree,55173,1376,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B15002,B15002_032,Total > Female > Bachelor's degree,792815,5535,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B15002,B15002_033,Total > Female > Master's degree,358399,4644,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B15002,B15002_034,Total > Female > Professional school degree,68474,1670,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B15002,B15002_035,Total > Female > Doctorate degree,33138,1378,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B19013,B19013_001,Median household income in the past 12 months (in 2009 inflation-adjusted dollars),55222,192,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25003,B25003_001,Total,4749388,10084,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25003,B25003_002,Total > Owner occupied,3292685,14798,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25003,B25003_003,Total > Renter occupied,1456703,8517,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25034,B25034_001,Total,5234756,1055,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25034,B25034_002,Total > Built 2005 or later,123310,2341,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25034,B25034_003,Total > Built 2000 to 2004,340445,3802,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25034,B25034_004,Total > Built 1990 to 1999,557611,3891,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25034,B25034_005,Total > Built 1980 to 1989,474296,4225,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25034,B25034_006,Total > Built 1970 to 1979,780249,5765,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25034,B25034_007,Total > Built 1960 to 1969,640358,4804,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25034,B25034_008,Total > Built 1950 to 1959,706991,4850,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25034,B25034_009,Total > Built 1940 to 1949,381900,4092,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25034,B25034_010,Total > Built 1939 or earlier,1229596,6115,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25035,B25035_001,Median year structure built,1965,1,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25064,B25064_001,Median gross rent,813,3,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25077,B25077_001,Median value (dollars),200400,594,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B15002,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15002_015, B15002_016, B15002_017, B15002_018, B15002_032, B15002_033, B15002_034, B15002_035)",2473098,10130.7,www2.census.gov summary file
Illinois,04000US17,2009,2005-2009,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),1229596,6115,www2.census.gov summary file
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B01002,B01002_001,Median age > Total,38.4,0.8,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B01003,B01003_001,Total,51426,39,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B03002,B03002_001,Total,51426,39,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,34322,1009,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,10138,910,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,2665,466,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B03002,B03002_012,Total > Hispanic or Latino,3166,553,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B15002,B15002_001,Total,35401,543,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B15002,B15002_015,Total > Male > Bachelor's degree,5259,450,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B15002,B15002_016,Total > Male > Master's degree,3585,317,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B15002,B15002_017,Total > Male > Professional school degree,1357,185,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B15002,B15002_018,Total > Male > Doctorate degree,1052,188,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B15002,B15002_032,Total > Female > Bachelor's degree,6160,492,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B15002,B15002_033,Total > Female > Master's degree,4362,337,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B15002,B15002_034,Total > Female > Professional school degree,1075,205,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B15002,B15002_035,Total > Female > Doctorate degree,829,163,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B19013,B19013_001,Median household income in the past 12 months (in 2010 inflation-adjusted dollars),73068,5056,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25003,B25003_001,Total,21938,465,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25003,B25003_002,Total > Owner occupied,13891,453,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25003,B25003_003,Total > Renter occupied,8047,493,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25034,B25034_001,Total,24153,591,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25034,B25034_002,Total > Built 2005 or later,350,142,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25034,B25034_003,Total > Built 2000 to 2004,420,133,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25034,B25034_004,Total > Built 1990 to 1999,473,138,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25034,B25034_005,Total > Built 1980 to 1989,760,187,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25034,B25034_006,Total > Built 1970 to 1979,1346,270,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25034,B25034_007,Total > Built 1960 to 1969,1671,247,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25034,B25034_008,Total > Built 1950 to 1959,1624,304,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25034,B25034_009,Total > Built 1940 to 1949,1769,295,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25034,B25034_010,Total > Built 1939 or earlier,15740,656,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25035,B25035_001,Median year structure built,1939,,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25064,B25064_001,Median gross rent,910,33,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25077,B25077_001,Median value (dollars),393300,11185,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B15002,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15002_015, B15002_016, B15002_017, B15002_018, B15002_032, B15002_033, B15002_034, B15002_035)",23679,892.6,data.census.gov
"Oak Park village, Illinois",16000US1754885,2010,2006-2010,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),15740,656,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B01002,B01002_001,Median age > Total,35.1,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B01003,B01003_001,Total,5172848,,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B03002,B03002_001,Total,5172848,,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,2294644,905,data.census.gov
"Cook County, Illinois",05000US17031,2010,2006-2010,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1289020,1898,data.census.gov
