geography,geoid,vintage,period,table,variable,label,estimate,margin_of_error,source
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25064,B25064_001,Median gross rent,988,31,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25077,B25077_001,Median value (dollars),369200,9870,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",24018,886.8,data.census.gov
"Oak Park village, Illinois",16000US1754885,2012,2008-2012,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),15575,513,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B01002,B01002_001,Median age > Total,35.3,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B01003,B01003_001,Total,5197677,,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B03002,B03002_001,Total,5197677,,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,2277287,806,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1267825,2109,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,325562,1628,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B03002,B03002_012,Total > Hispanic or Latino,1245329,,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B15003,B15003_001,Total,3456817,162,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B15003,B15003_022,Total > Bachelor's degree,715158,5839,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B15003,B15003_023,Total > Master's degree,326956,3696,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B15003,B15003_024,Total > Professional school degree,97071,2047,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B15003,B15003_025,Total > Doctorate degree,45014,1610,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B19013,B19013_001,Median household income in the past 12 months (in 2012 inflation-adjusted dollars),54648,288,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25003,B25003_001,Total,1933670,4848,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25003,B25003_002,Total > Owner occupied,1140135,6776,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25003,B25003_003,Total > Renter occupied,793535,5174,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25034,B25034_001,Total,2178739,643,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25034,B25034_002,Total > Built 2010 or later,2215,419,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25034,B25034_003,Total > Built 2000 to 2009,164926,2570,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25034,B25034_004,Total > Built 1990 to 1999,126004,2142,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25034,B25034_005,Total > Built 1980 to 1989,144575,2560,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25034,B25034_006,Total > Built 1970 to 1979,255051,3011,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25034,B25034_007,Total > Built 1960 to 1969,283786,3512,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25034,B25034_008,Total > Built 1950 to 1959,343363,3925,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25034,B25034_009,Total > Built 1940 to 1949,173176,2795,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25034,B25034_010,Total > Built 1939 or earlier,685643,4300,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25035,B25035_001,Median year structure built,1957,1,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25064,B25064_001,Median gross rent,950,3,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25077,B25077_001,Median value (dollars),244900,861,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",1184199,7384.9,data.census.gov
"Cook County, Illinois",05000US17031,2012,2008-2012,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),685643,4300,data.census.gov
Illinois,04000US17,2012,2008-2012,B01002,B01002_001,Median age > Total,36.6,0.1,data.census.gov
Illinois,04000US17,2012,2008-2012,B01003,B01003_001,Total,12823860,,data.census.gov
Illinois,04000US17,2012,2008-2012,B03002,B03002_001,Total,12823860,,data.census.gov
Illinois,04000US17,2012,2008-2012,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,8149479,2282,data.census.gov
Illinois,04000US17,2012,2008-2012,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1834505,3311,data.census.gov
Illinois,04000US17,2012,2008-2012,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,590488,2554,data.census.gov
Illinois,04000US17,2012,2008-2012,B03002,B03002_012,Total > Hispanic or Latino,2027384,386,data.census.gov
Illinois,04000US17,2012,2008-2012,B15003,B15003_001,Total,8459947,1063,data.census.gov
Illinois,04000US17,2012,2008-2012,B15003,B15003_022,Total > Bachelor's degree,1632885,9362,data.census.gov
Illinois,04000US17,2012,2008-2012,B15003,B15003_023,Total > Master's degree,721913,5909,data.census.gov
Illinois,04000US17,2012,2008-2012,B15003,B15003_024,Total > Professional school degree,179995,2999,data.census.gov
Illinois,04000US17,2012,2008-2012,B15003,B15003_025,Total > Doctorate degree,94551,2050,data.census.gov
Illinois,04000US17,2012,2008-2012,B19013,B19013_001,Median household income in the past 12 months (in 2012 inflation-adjusted dollars),56853,213,data.census.gov
Illinois,04000US17,2012,2008-2012,B25003,B25003_001,Total,4774275,11692,data.census.gov
Illinois,04000US17,2012,2008-2012,B25003,B25003_002,Total > Owner occupied,3248521,15690,data.census.gov
Illinois,04000US17,2012,2008-2012,B25003,B25003_003,Total > Renter occupied,1525754,8115,data.census.gov
Illinois,04000US17,2012,2008-2012,B25034,B25034_001,Total,5293619,1433,data.census.gov
Illinois,04000US17,2012,2008-2012,B25034,B25034_002,Total > Built 2010 or later,8058,703,data.census.gov
Illinois,04000US17,2012,2008-2012,B25034,B25034_003,Total > Built 2000 to 2009,585992,4446,data.census.gov
Illinois,04000US17,2012,2008-2012,B25034,B25034_004,Total > Built 1990 to 1999,564652,4207,data.census.gov
Illinois,04000US17,2012,2008-2012,B25034,B25034_005,Total > Built 1980 to 1989,467321,3979,data.census.gov
Illinois,04000US17,2012,2008-2012,B25034,B25034_006,Total > Built 1970 to 1979,757988,4143,data.census.gov
Illinois,04000US17,2012,2008-2012,B25034,B25034_007,Total > Built 1960 to 1969,631610,4971,data.census.gov
Illinois,04000US17,2012,2008-2012,B25034,B25034_008,Total > Built 1950 to 1959,701103,5024,data.census.gov
Illinois,04000US17,2012,2008-2012,B25034,B25034_009,Total > Built 1940 to 1949,357523,3743,data.census.gov
Illinois,04000US17,2012,2008-2012,B25034,B25034_010,Total > Built 1939 or earlier,1219372,5619,data.census.gov
Illinois,04000US17,2012,2008-2012,B25035,B25035_001,Median year structure built,1966,1,data.census.gov
Illinois,04000US17,2012,2008-2012,B25064,B25064_001,Median gross rent,877,3,data.census.gov
Illinois,04000US17,2012,2008-2012,B25077,B25077_001,Median value (dollars),190800,519,data.census.gov
Illinois,04000US17,2012,2008-2012,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",2629344,11651.6,data.census.gov
Illinois,04000US17,2012,2008-2012,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),1219372,5619,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B01002,B01002_001,Median age > Total,38.7,0.8,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B01003,B01003_001,Total,51902,37,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B03002,B03002_001,Total,51902,37,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,33585,1059,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,10792,818,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,2587,492,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B03002,B03002_012,Total > Hispanic or Latino,3220,539,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B15003,B15003_001,Total,36020,570,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B15003,B15003_022,Total > Bachelor's degree,11032,527,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B15003,B15003_023,Total > Master's degree,8471,443,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B15003,B15003_024,Total > Professional school degree,2872,323,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B15003,B15003_025,Total > Doctorate degree,1730,226,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B19013,B19013_001,Median household income in the past 12 months (in 2013 inflation-adjusted dollars),78802,3613,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25003,B25003_001,Total,21623,443,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25003,B25003_002,Total > Owner occupied,13380,438,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25003,B25003_003,Total > Renter occupied,8243,371,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25034,B25034_001,Total,24001,484,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25034,B25034_002,Total > Built 2010 or later,10,16,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25034,B25034_003,Total > Built 2000 to 2009,844,203,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25034,B25034_004,Total > Built 1990 to 1999,548,171,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25034,B25034_005,Total > Built 1980 to 1989,626,167,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25034,B25034_006,Total > Built 1970 to 1979,1525,243,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25034,B25034_007,Total > Built 1960 to 1969,1534,254,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25034,B25034_008,Total > Built 1950 to 1959,1839,253,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25034,B25034_009,Total > Built 1940 to 1949,1400,220,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25034,B25034_010,Total > Built 1939 or earlier,15675,508,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25035,B25035_001,Median year structure built,1939,,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25064,B25064_001,Median gross rent,1047,38,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25077,B25077_001,Median value (dollars),358800,8574,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",24105,793.3,data.census.gov
"Oak Park village, Illinois",16000US1754885,2013,2009-2013,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),15675,508,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B01002,B01002_001,Median age > Total,35.5,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B01003,B01003_001,Total,5212372,,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B03002,B03002_001,Total,5212372,,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,2275759,844,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1256346,2050,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,333415,1466,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B03002,B03002_012,Total > Hispanic or Latino,1262156,,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B15003,B15003_001,Total,3484571,75,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B15003,B15003_022,Total > Bachelor's degree,726485,4989,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B15003,B15003_023,Total > Master's degree,337581,4535,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B15003,B15003_024,Total > Professional school degree,98220,1914,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B15003,B15003_025,Total > Doctorate degree,46570,1593,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B19013,B19013_001,Median household income in the past 12 months (in 2013 inflation-adjusted dollars),54548,295,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25003,B25003_001,Total,1933335,5245,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25003,B25003_002,Total > Owner occupied,1127937,6754,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25003,B25003_003,Total > Renter occupied,805398,4960,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25034,B25034_001,Total,2176266,880,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25034,B25034_002,Total > Built 2010 or later,4293,480,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25034,B25034_003,Total > Built 2000 to 2009,169423,2434,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25034,B25034_004,Total > Built 1990 to 1999,128692,2666,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25034,B25034_005,Total > Built 1980 to 1989,145451,2300,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25034,B25034_006,Total > Built 1970 to 1979,256912,3989,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25034,B25034_007,Total > Built 1960 to 1969,280628,3160,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25034,B25034_008,Total > Built 1950 to 1959,344405,3327,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25034,B25034_009,Total > Built 1940 to 1949,165583,2562,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25034,B25034_010,Total > Built 1939 or earlier,680879,4405,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25035,B25035_001,Median year structure built,1957,1,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25064,B25064_001,Median gross rent,963,3,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25077,B25077_001,Median value (dollars),231200,880,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",1208856,7187.3,data.census.gov
"Cook County, Illinois",05000US17031,2013,2009-2013,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),680879,4405,data.census.gov
Illinois,04000US17,2013,2009-2013,B01002,B01002_001,Median age > Total,36.8,0.1,data.census.gov
Illinois,04000US17,2013,2009-2013,B01003,B01003_001,Total,12848554,,data.census.gov
Illinois,04000US17,2013,2009-2013,B03002,B03002_001,Total,12848554,,data.census.gov
Illinois,04000US17,2013,2009-2013,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,8126804,2071,data.census.gov
Illinois,04000US17,2013,2009-2013,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1825101,3574,data.census.gov
Illinois,04000US17,2013,2009-2013,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,605095,2257,data.census.gov
Illinois,04000US17,2013,2009-2013,B03002,B03002_012,Total > Hispanic or Latino,2060706,349,data.census.gov
Illinois,04000US17,2013,2009-2013,B15003,B15003_001,Total,8509739,1186,data.census.gov
Illinois,04000US17,2013,2009-2013,B15003,B15003_022,Total > Bachelor's degree,1657947,8451,data.census.gov
Illinois,04000US17,2013,2009-2013,B15003,B15003_023,Total > Master's degree,739404,6814,data.census.gov
Illinois,04000US17,2013,2009-2013,B15003,B15003_024,Total > Professional school degree,180829,2566,data.census.gov
Illinois,04000US17,2013,2009-2013,B15003,B15003_025,Total > Doctorate degree,97616,2004,data.census.gov
Illinois,04000US17,2013,2009-2013,B19013,B19013_001,Median household income in the past 12 months (in 2013 inflation-adjusted dollars),56797,190,data.census.gov
Illinois,04000US17,2013,2009-2013,B25003,B25003_001,Total,4772723,11056,data.census.gov
Illinois,04000US17,2013,2009-2013,B25003,B25003_002,Total > Owner occupied,3220038,15145,data.census.gov
Illinois,04000US17,2013,2009-2013,B25003,B25003_003,Total > Renter occupied,1552685,6626,data.census.gov
Illinois,04000US17,2013,2009-2013,B25034,B25034_001,Total,5291704,1433,data.census.gov
Illinois,04000US17,2013,2009-2013,B25034,B25034_002,Total > Built 2010 or later,15718,915,data.census.gov
Illinois,04000US17,2013,2009-2013,B25034,B25034_003,Total > Built 2000 to 2009,599062,4405,data.census.gov
Illinois,04000US17,2013,2009-2013,B25034,B25034_004,Total > Built 1990 to 1999,567641,4715,data.census.gov
Illinois,04000US17,2013,2009-2013,B25034,B25034_005,Total > Built 1980 to 1989,467366,3939,data.census.gov
Illinois,04000US17,2013,2009-2013,B25034,B25034_006,Total > Built 1970 to 1979,758088,4425,data.census.gov
Illinois,04000US17,2013,2009-2013,B25034,B25034_007,Total > Built 1960 to 1969,628624,4680,data.census.gov
Illinois,04000US17,2013,2009-2013,B25034,B25034_008,Total > Built 1950 to 1959,702169,4737,data.census.gov
Illinois,04000US17,2013,2009-2013,B25034,B25034_009,Total > Built 1940 to 1949,347104,3822,data.census.gov
Illinois,04000US17,2013,2009-2013,B25034,B25034_010,Total > Built 1939 or earlier,1205932,5546,data.census.gov
Illinois,04000US17,2013,2009-2013,B25035,B25035_001,Median year structure built,1966,1,data.census.gov
Illinois,04000US17,2013,2009-2013,B25064,B25064_001,Median gross rent,890,2,data.census.gov
Illinois,04000US17,2013,2009-2013,B25077,B25077_001,Median value (dollars),182300,458,data.census.gov
Illinois,04000US17,2013,2009-2013,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",2675796,11333.6,data.census.gov
Illinois,04000US17,2013,2009-2013,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),1205932,5546,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B01002,B01002_001,Median age > Total,39.0,0.9,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B01003,B01003_001,Total,51988,60,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B03002,B03002_001,Total,51988,60,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,32855,1172,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,10796,859,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,2721,501,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B03002,B03002_012,Total > Hispanic or Latino,3749,632,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B15003,B15003_001,Total,36201,482,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B15003,B15003_022,Total > Bachelor's degree,11107,595,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B15003,B15003_023,Total > Master's degree,8525,576,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B15003,B15003_024,Total > Professional school degree,2850,279,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B15003,B15003_025,Total > Doctorate degree,1792,234,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),78895,4137,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25003,B25003_001,Total,21658,422,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25003,B25003_002,Total > Owner occupied,12926,472,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25003,B25003_003,Total > Renter occupied,8732,386,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25034,B25034_001,Total,23872,465,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25034,B25034_002,Total > Built 2010 or later,18,19,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25034,B25034_003,Total > Built 2000 to 2009,837,186,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25034,B25034_004,Total > Built 1990 to 1999,586,179,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25034,B25034_005,Total > Built 1980 to 1989,495,118,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25034,B25034_006,Total > Built 1970 to 1979,1518,257,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25034,B25034_007,Total > Built 1960 to 1969,1499,261,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25034,B25034_008,Total > Built 1950 to 1959,1922,286,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25034,B25034_009,Total > Built 1940 to 1949,1332,225,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25034,B25034_010,Total > Built 1939 or earlier,15665,604,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25035,B25035_001,Median year structure built,1939,,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25064,B25064_001,Median gross rent,1021,47,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25077,B25077_001,Median value (dollars),354400,8387,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",24274,904.7,data.census.gov
"Oak Park village, Illinois",16000US1754885,2014,2010-2014,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),15665,604,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B01002,B01002_001,Median age > Total,35.7,0.1,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B01003,B01003_001,Total,5227827,,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B03002,B03002_001,Total,5227827,,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B03002,B03002_003,Total > Not Hispanic or Latino > White alone,2266635,768,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B03002,B03002_004,Total > Not Hispanic or Latino > Black or African American alone,1248338,2141,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B03002,B03002_006,Total > Not Hispanic or Latino > Asian alone,343048,1493,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B03002,B03002_012,Total > Hispanic or Latino,1281217,,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B15003,B15003_001,Total,3513404,71,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B15003,B15003_022,Total > Bachelor's degree,746058,5423,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B15003,B15003_023,Total > Master's degree,345049,4557,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B15003,B15003_024,Total > Professional school degree,98753,2217,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B15003,B15003_025,Total > Doctorate degree,49092,1563,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B19013,B19013_001,Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),54828,310,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25003,B25003_001,Total,1937060,4842,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25003,B25003_002,Total > Owner occupied,1115461,6760,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25003,B25003_003,Total > Renter occupied,821599,4885,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25034,B25034_001,Total,2177033,765,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25034,B25034_002,Total > Built 2010 or later,7460,531,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25034,B25034_003,Total > Built 2000 to 2009,172024,2533,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25034,B25034_004,Total > Built 1990 to 1999,129865,2317,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25034,B25034_005,Total > Built 1980 to 1989,144850,2249,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25034,B25034_006,Total > Built 1970 to 1979,259614,3171,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25034,B25034_007,Total > Built 1960 to 1969,280941,3380,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25034,B25034_008,Total > Built 1950 to 1959,342593,3172,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25034,B25034_009,Total > Built 1940 to 1949,161112,2650,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25034,B25034_010,Total > Built 1939 or earlier,678574,4035,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25035,B25035_001,Median year structure built,1957,1,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25064,B25064_001,Median gross rent,976,3,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25077,B25077_001,Median value (dollars),222200,986,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B15003,DERIVED_BACHELORS_OR_HIGHER_25PLUS,"Population 25 years and over with a bachelor's degree or higher (sum of B15003_022, B15003_023, B15003_024, B15003_025)",1238952,7585.1,data.census.gov
"Cook County, Illinois",05000US17031,2014,2010-2014,B25034,DERIVED_UNITS_BUILT_1939_OR_EARLIER,Housing units built 1939 or earlier (copy of B25034_010),678574,4035,data.census.gov
Illinois,04000US17,2014,2010-2014,B01002,B01002_001,Median age > Total,37.0,0.1,data.census.gov
Illinois,04000US17,2014,2010-2014,B01003,B01003_001,Total,12868747,,data.census.gov
